item_id,pair_id,family,condition,plausibility,observed,intended,edit_type,edit_distance,expected,literal_interp,edited_interp,notes,slp_observed,slp_intended,slp_gain,gate_slp,edit_from,edit_to,reach_dist,reach_ok,miss_ntok,contrast_gain_keep,gate_pass,gate_note
SUBW-01a,SUBW-01,SUBW,implausible,implaus,the storyteller told an amusing antidote,the storyteller told an amusing anecdote,sub,2,edit,speaker meant 'antidote',speaker meant 'anecdote',real-word malaprop; antidote anomalous after told/amusing,-67.978,-55.946,12.032,pass,antidote,anecdote,2,yes,,,PASS,
SUBW-01b,SUBW-01,SUBW,plausible,plaus,the doctor prepared a fast-acting antidote,the doctor prepared a fast-acting antidote,none,0,keep,speaker meant 'antidote','anecdote' (reject),same observed word in a context where it is correct,-60.646,-60.646,0.0,n/a,,,,,,-2.106,PASS,
SUBW-02a,SUBW-02,SUBW,implausible,implaus,the medic treated the wound to prevent an inflection,the medic treated the wound to prevent an infection,sub,1,edit,speaker meant 'inflection',speaker meant 'infection',d=1 (drop 'l'); strong context for infection,-72.235,-62.782,9.453,pass,inflection,infection,1,yes,,,PASS,
SUBW-02b,SUBW-02,SUBW,plausible,plaus,the teacher explained the verb's inflection,the teacher explained the verb's inflection,none,0,keep,speaker meant 'inflection','infection' (reject),inflection correct in a grammar context,-54.086,-54.086,0.0,n/a,,,,,,-4.368,PASS,
SUBW-03a,SUBW-03,SUBW,implausible,implaus,the judge cited an important president,the judge cited an important precedent,sub,2,edit,speaker meant 'president',speaker meant 'precedent',legal frame predicts precedent,-49.395,-42.79,6.606,pass,president,precedent,2,yes,,,PASS,
SUBW-03b,SUBW-03,SUBW,plausible,plaus,the board elected a new president,the board elected a new president,none,0,keep,speaker meant 'president','precedent' (reject),president correct in an election context,-39.518,-39.518,0.0,n/a,,,,,,-8.111,PASS,
SUBW-04a,SUBW-04,SUBW,implausible,implaus,the explorers trekked across the scorching dessert,the explorers trekked across the scorching desert,sub,1,edit,speaker meant 'dessert',speaker meant 'desert',d=1 (drop 's'); 'scorching/trekked' predict desert,-77.614,-66.321,11.293,pass,dessert,desert,1,yes,,,PASS,
SUBW-04b,SUBW-04,SUBW,plausible,plaus,she ordered a rich chocolate dessert,she ordered a rich chocolate dessert,none,0,keep,speaker meant 'dessert','desert' (reject),dessert correct in a food context,-47.854,-47.854,0.0,n/a,,,,,,-4.594,PASS,
SUBW-05a,SUBW-05,SUBW,implausible,implaus,he wore a very causal shirt to the wedding,he wore a very casual shirt to the wedding,sub,1,edit,speaker meant 'causal',speaker meant 'casual',d=1 transposition (u/s); clothing context predicts casual,-63.523,-50.805,12.718,pass,causal,casual,1,yes,,,PASS,
SUBW-05b,SUBW-05,SUBW,plausible,plaus,they studied the causal link between the variables,they studied the causal link between the variables,none,0,keep,speaker meant 'causal','casual' (reject),causal correct in a science context,-49.283,-49.283,0.0,n/a,,,,,,-4.545,PASS,
SUBW-06a,SUBW-06,SUBW,implausible,implaus,she gave him a lovely complement on his cooking,she gave him a lovely compliment on his cooking,sub,1,edit,speaker meant 'complement',speaker meant 'compliment',d=1 (e->i); praise context predicts compliment,-60.463,-50.976,9.488,pass,complement,compliment,1,yes,,,PASS,
SUBW-06b,SUBW-06,SUBW,plausible,plaus,the wine was a perfect complement to the meal,the wine was a perfect complement to the meal,none,0,keep,speaker meant 'complement','compliment' (reject),complement correct in a pairing context,-52.365,-52.365,0.0,n/a,,,,,,-1.236,PASS,
SUBN-01a,SUBN-01,SUBN,implausible,implaus,did you recieve the message,did you receive the message,sub,1,edit,nonword 'recieve','receive',transposition typo; literal is a nonword,-33.879,-27.383,6.496,pass,recieve,receive,1,yes,,,PASS,
SUBN-01b,SUBN-01,SUBN,plausible,plaus,did you receive the message,did you receive the message,none,0,keep,'receive','receive' (already correct),correctly spelled twin,-27.383,-27.383,0.0,n/a,,,,,,,PASS,
SUBN-02a,SUBN-02,SUBN,implausible,implaus,the boy did an experimemt today,the boy did an experiment today,sub,1,edit,nonword 'experimemt','experiment',single-char substitution typo,-67.231,-47.703,19.528,pass,experimemt,experiment,1,yes,,,PASS,
SUBN-02b,SUBN-02,SUBN,plausible,plaus,the boy did an experiment today,the boy did an experiment today,none,0,keep,'experiment','experiment' (already correct),correctly spelled twin,-47.703,-47.703,0.0,n/a,,,,,,,PASS,
SUBN-03a,SUBN-03,SUBN,implausible,implaus,she definately agreed with the plan,she definitely agreed with the plan,sub,1,edit,nonword 'definately','definitely',common a/i typo,-44.668,-39.839,4.83,pass,definately,definitely,1,yes,,,PASS,
SUBN-03b,SUBN-03,SUBN,plausible,plaus,she definitely agreed with the plan,she definitely agreed with the plan,none,0,keep,'definitely','definitely' (already correct),correctly spelled twin,-39.839,-39.839,0.0,n/a,,,,,,,PASS,
SUBN-04a,SUBN-04,SUBN,implausible,implaus,the mountian was covered in snow,the mountain was covered in snow,sub,1,edit,nonword 'mountian','mountain',transposition typo,-55.245,-40.566,14.679,pass,mountian,mountain,1,yes,,,PASS,
SUBN-04b,SUBN-04,SUBN,plausible,plaus,the mountain was covered in snow,the mountain was covered in snow,none,0,keep,'mountain','mountain' (already correct),correctly spelled twin,-40.566,-40.566,0.0,n/a,,,,,,,PASS,
