dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
huang2024,huang2024//1/NPS_AMB,huang2024//1/NPS_UAMB,The suspect showed that the file deserved further investigation during the murder trial.,ins,ins,,that,,1
huang2024,huang2024//1/NPZ_AMB,huang2024//1/NPZ_UAMB,"Because the suspect changed, the file deserved further investigation during the jury discussions.",sub,sub,changed,"changed,",3,1
huang2024,huang2024//1/MVRR_AMB,huang2024//1/MVRR_UAMB,The suspect who was sent the file deserved further investigation given the new evidence.,ins,ins,,who was,,1
huang2024,huang2024//2/NPS_AMB,huang2024//2/NPS_UAMB,The corrupt politician mentioned that the bill received unwelcome attention from southern voters.,ins,ins,,that,,1
huang2024,huang2024//2/NPZ_AMB,huang2024//2/NPZ_UAMB,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",sub,sub,signed,"signed,",4,1
huang2024,huang2024//2/MVRR_AMB,huang2024//2/MVRR_UAMB,The corrupt politician who was handed the bill received unwelcome attention from southern voters.,ins,ins,,who was,,1
huang2024,huang2024//3/NPS_AMB,huang2024//3/NPS_UAMB,The woman maintained that the mail disappeared mysteriously from her front porch.,ins,ins,,that,,1
huang2024,huang2024//3/NPZ_AMB,huang2024//3/NPZ_UAMB,"After the woman moved, the mail disappeared mysteriously from the delivery system.",sub,sub,moved,"moved,",3,1
huang2024,huang2024//3/MVRR_AMB,huang2024//3/MVRR_UAMB,The woman who was brought the mail disappeared mysteriously after reading the bad news in it.,ins,ins,,who was,,1
huang2024,huang2024//4/NPS_AMB,huang2024//4/NPS_UAMB,The boy found that the chicken stayed surprisingly happy in the new barn.,ins,ins,,that,,1
huang2024,huang2024//4/NPZ_AMB,huang2024//4/NPZ_UAMB,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened.",sub,sub,attacked,"attacked,",3,1
huang2024,huang2024//4/MVRR_AMB,huang2024//4/MVRR_UAMB,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,ins,ins,,who was,,1
huang2024,huang2024//5/NPS_AMB,huang2024//5/NPS_UAMB,The new doctor demonstrated that the operation appeared increasingly likely to succeed.,ins,ins,,that,,1
huang2024,huang2024//5/NPZ_AMB,huang2024//5/NPZ_UAMB,"After the new doctor left, the operation appeared increasingly likely to succeed.",sub,sub,left,"left,",4,1
huang2024,huang2024//5/MVRR_AMB,huang2024//5/MVRR_UAMB,The new doctor who was offered the operation appeared increasingly likely to succeed in her career.,ins,ins,,who was,,1
huang2024,huang2024//6/NPS_AMB,huang2024//6/NPS_UAMB,The professor noticed that the grant gained more attention from marine biologists.,ins,ins,,that,,1
huang2024,huang2024//6/NPZ_AMB,huang2024//6/NPZ_UAMB,"After the professor read, the grant gained more attention due to her excellent description.",sub,sub,read,"read,",3,1
huang2024,huang2024//6/MVRR_AMB,huang2024//6/MVRR_UAMB,The professor who was awarded the grant gained more attention from marine biologists.,ins,ins,,who was,,1
huang2024,huang2024//7/NPS_AMB,huang2024//7/NPS_UAMB,The technician reported that the service stopped working almost immediately after the storm started.,ins,ins,,that,,1
huang2024,huang2024//7/NPZ_AMB,huang2024//7/NPZ_UAMB,"After the technician called, the service stopped working almost immediately to his surprise.",sub,sub,called,"called,",3,1
huang2024,huang2024//7/MVRR_AMB,huang2024//7/MVRR_UAMB,The technician who was refused the service stopped working almost immediately after the argument.,ins,ins,,who was,,1
huang2024,huang2024//8/NPS_AMB,huang2024//8/NPS_UAMB,The mechanic observed that the truck needed several more hours to be repaired.,ins,ins,,that,,1
huang2024,huang2024//8/NPZ_AMB,huang2024//8/NPZ_UAMB,"Because the mechanic stopped, the truck needed several more hours before it could be fully repaired.",sub,sub,stopped,"stopped,",3,1
huang2024,huang2024//8/MVRR_AMB,huang2024//8/MVRR_UAMB,The mechanic who was brought the truck needed several more hours to fully repair it.,ins,ins,,who was,,1
huang2024,huang2024//9/NPS_AMB,huang2024//9/NPS_UAMB,The guitarist knew that the song failed dramatically because of the tensions within the band.,ins,ins,,that,,1
huang2024,huang2024//9/NPZ_AMB,huang2024//9/NPZ_UAMB,"After the guitarist began, the song failed dramatically because he skipped the sound check.",sub,sub,began,"began,",3,1
huang2024,huang2024//9/MVRR_AMB,huang2024//9/MVRR_UAMB,The guitarist who was assigned the song failed dramatically because he never practiced enough.,ins,ins,,who was,,1
huang2024,huang2024//10/NPS_AMB,huang2024//10/NPS_UAMB,The player revealed that the bonus remained essentially the same as in the original contract.,ins,ins,,that,,1
huang2024,huang2024//10/NPZ_AMB,huang2024//10/NPZ_UAMB,"Although the player lost, the bonus remained essentially the same as in the original contract.",sub,sub,lost,"lost,",3,1
huang2024,huang2024//10/MVRR_AMB,huang2024//10/MVRR_UAMB,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.,ins,ins,,who was,,1
huang2024,huang2024//11/NPS_AMB,huang2024//11/NPS_UAMB,The recent hire claimed that the job prepared many students for careers in media.,ins,ins,,that,,1
huang2024,huang2024//11/NPZ_AMB,huang2024//11/NPZ_UAMB,"Once the recent hire started, the job prepared many students for careers in media.",sub,sub,started,"started,",4,1
huang2024,huang2024//11/MVRR_AMB,huang2024//11/MVRR_UAMB,The recent hire who was offered the job prepared many students for careers in media.,ins,ins,,who was,,1
huang2024,huang2024//12/NPS_AMB,huang2024//12/NPS_UAMB,The assistant manager discovered that the training seemed unnecessarily demanding for new staff.,ins,ins,,that,,1
huang2024,huang2024//12/NPZ_AMB,huang2024//12/NPZ_UAMB,"While the assistant manager worked, the training seemed unnecessarily demanding to him.",sub,sub,worked,"worked,",4,1
huang2024,huang2024//12/MVRR_AMB,huang2024//12/MVRR_UAMB,The assistant manager who was assigned the training seemed unnecessarily demanding to new staff.,ins,ins,,who was,,1
huang2024,huang2024//13/NPS_AMB,huang2024//13/NPS_UAMB,The mayor showed that the document provided sufficient evidence to prove her innocence.,ins,ins,,that,,1
huang2024,huang2024//13/NPZ_AMB,huang2024//13/NPZ_UAMB,"Although the mayor changed, the document provided sufficient evidence for what he had promised.",sub,sub,changed,"changed,",3,1
huang2024,huang2024//13/MVRR_AMB,huang2024//13/MVRR_UAMB,The mayor who was sent the document provided sufficient evidence that it was simply blackmail.,ins,ins,,who was,,1
huang2024,huang2024//14/NPS_AMB,huang2024//14/NPS_UAMB,The basketball player mentioned that the contract created another controversy in the NBA.,ins,ins,,that,,1
huang2024,huang2024//14/NPZ_AMB,huang2024//14/NPZ_UAMB,"After the basketball player signed, the contract created another political controversy in the NBA.",multi,sub;ins,signed,"signed,",4,1
huang2024,huang2024//14/MVRR_AMB,huang2024//14/MVRR_UAMB,The basketball player who was handed the contract created another controversy in the NBA.,ins,ins,,who was,,1
huang2024,huang2024//15/NPS_AMB,huang2024//15/NPS_UAMB,The engineer maintained that the equipment required constant supervision from senior technicians.,ins,ins,,that,,1
huang2024,huang2024//15/NPZ_AMB,huang2024//15/NPZ_UAMB,"After the engineer moved, the equipment required constant supervision from senior technicians.",sub,sub,moved,"moved,",3,1
huang2024,huang2024//15/MVRR_AMB,huang2024//15/MVRR_UAMB,The engineer who was brought the equipment required constant supervision from senior technicians.,ins,ins,,who was,,1
huang2024,huang2024//16/NPS_AMB,huang2024//16/NPS_UAMB,The little girl found that the lamb remained relatively calm despite the absence of its mother.,ins,ins,,that,,1
huang2024,huang2024//16/NPZ_AMB,huang2024//16/NPZ_UAMB,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault.",sub,sub,attacked,"attacked,",4,1
huang2024,huang2024//16/MVRR_AMB,huang2024//16/MVRR_UAMB,The little girl who was fed the lamb remained relatively calm despite having asked for beef.,ins,ins,,who was,,1
