dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uids,n_intended,critical_word_idx,comprehension_q,correct_answer,meta
qian2023,,0,sss,qian2023//0/sss,,the location of the star has caught attention of some astronomers .,The location of the star has caught attention of some astronomers.,,0,,1,agreement,qian2023//0/sss,1,,,,"{""N1"": ""location"", ""N1_number"": ""singular"", ""N2"": ""star"", ""N2_number"": ""singular"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""has caught"", ""predicate_sg_pl_number"": ""singular"", ""preposition"": ""of""}"
qian2023,,0,ssp,qian2023//0/ssp,,the location of the star have caught attention of some astronomers .,The location of the star have caught attention of some astronomers.,,1,,0,agreement,qian2023//0/psp;qian2023//0/sss,2,,,,"{""N1"": ""location"", ""N1_number"": ""singular"", ""N2"": ""star"", ""N2_number"": ""singular"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""have caught"", ""predicate_sg_pl_number"": ""plural"", ""preposition"": ""of""}"
qian2023,,0,sps,qian2023//0/sps,,the location of the stars has caught attention of some astronomers .,The location of the stars has caught attention of some astronomers.,,2,,1,agreement,qian2023//0/sps,1,,,,"{""N1"": ""location"", ""N1_number"": ""singular"", ""N2"": ""stars"", ""N2_number"": ""plural"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""has caught"", ""predicate_sg_pl_number"": ""singular"", ""preposition"": ""of""}"
qian2023,,0,spp,qian2023//0/spp,,the location of the stars have caught attention of some astronomers .,The location of the stars have caught attention of some astronomers.,,3,,0,agreement,qian2023//0/ppp;qian2023//0/sps,2,,,,"{""N1"": ""location"", ""N1_number"": ""singular"", ""N2"": ""stars"", ""N2_number"": ""plural"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""have caught"", ""predicate_sg_pl_number"": ""plural"", ""preposition"": ""of""}"
qian2023,,0,pss,qian2023//0/pss,,the locations of the star has caught attention of some astronomers .,The locations of the star has caught attention of some astronomers.,,4,,0,agreement,qian2023//0/psp;qian2023//0/sss,2,,,,"{""N1"": ""locations"", ""N1_number"": ""plural"", ""N2"": ""star"", ""N2_number"": ""singular"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""has caught"", ""predicate_sg_pl_number"": ""singular"", ""preposition"": ""of""}"
qian2023,,0,psp,qian2023//0/psp,,the locations of the star have caught attention of some astronomers .,The locations of the star have caught attention of some astronomers.,,5,,1,agreement,qian2023//0/psp,1,,,,"{""N1"": ""locations"", ""N1_number"": ""plural"", ""N2"": ""star"", ""N2_number"": ""singular"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""have caught"", ""predicate_sg_pl_number"": ""plural"", ""preposition"": ""of""}"
qian2023,,0,pps,qian2023//0/pps,,the locations of the stars has caught attention of some astronomers .,The locations of the stars has caught attention of some astronomers.,,6,,0,agreement,qian2023//0/ppp;qian2023//0/sps,2,,,,"{""N1"": ""locations"", ""N1_number"": ""plural"", ""N2"": ""stars"", ""N2_number"": ""plural"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""has caught"", ""predicate_sg_pl_number"": ""singular"", ""preposition"": ""of""}"
qian2023,,0,ppp,qian2023//0/ppp,,the locations of the stars have caught attention of some astronomers .,The locations of the stars have caught attention of some astronomers.,,7,,1,agreement,qian2023//0/ppp,1,,,,"{""N1"": ""locations"", ""N1_number"": ""plural"", ""N2"": ""stars"", ""N2_number"": ""plural"", ""context"": ""The %% {preposition} the %% {predicate} attention of some astronomers."", ""predicate"": ""caught"", ""predicate_sg_pl"": ""have caught"", ""predicate_sg_pl_number"": ""plural"", ""preposition"": ""of""}"
qian2023,,1,sss,qian2023//1/sss,,the sound of the string is so gorgeous on this guitar .,The sound of the string is so gorgeous on this guitar.,,8,,1,agreement,qian2023//1/sss,1,,,,"{""N1"": ""sound"", ""N1_number"": ""singular"", ""N2"": ""string"", ""N2_number"": ""singular"", ""context"": ""The %% {preposition} the %% {predicate} so gorgeous on this guitar."", ""predicate"": ""will be"", ""predicate_sg_pl"": ""is"", ""predicate_sg_pl_number"": ""singular"", ""preposition"": ""of""}"
qian2023,,1,ssp,qian2023//1/ssp,,the sound of the string are so gorgeous on this guitar .,The sound of the string are so gorgeous on this guitar.,,9,,0,agreement,qian2023//1/psp;qian2023//1/sss,2,,,,"{""N1"": ""sound"", ""N1_number"": ""singular"", ""N2"": ""string"", ""N2_number"": ""singular"", ""context"": ""The %% {preposition} the %% {predicate} so gorgeous on this guitar."", ""predicate"": ""will be"", ""predicate_sg_pl"": ""are"", ""predicate_sg_pl_number"": ""plural"", ""preposition"": ""of""}"
