dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
tabor2004,tabor2004//e1_1/nonreduced_global,tabor2004//e1_1/nonreduced_global,The kindergartners liked the little girl who was chosen a toy by her parents.,none,,,,,1
tabor2004,tabor2004//e1_1/reduced_global,tabor2004//e1_1/nonreduced_global,The kindergartners liked the little girl who was chosen a toy by her parents.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_1/nonreduced_local,tabor2004//e1_1/nonreduced_local,The kindergartners liked the little girl who was brought a toy by her parents.,none,,,,,1
tabor2004,tabor2004//e1_1/reduced_local,tabor2004//e1_1/nonreduced_local,The kindergartners liked the little girl who was brought a toy by her parents.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_2/nonreduced_global,tabor2004//e1_2/nonreduced_global,We saw a movie about an artist who was drawn a picture by her father.,none,,,,,1
tabor2004,tabor2004//e1_2/reduced_global,tabor2004//e1_2/nonreduced_global,We saw a movie about an artist who was drawn a picture by her father.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_2/nonreduced_local,tabor2004//e1_2/nonreduced_local,We saw a movie about an artist who was painted a picture by her father.,none,,,,,1
tabor2004,tabor2004//e1_2/reduced_local,tabor2004//e1_2/nonreduced_local,We saw a movie about an artist who was painted a picture by her father.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_3/nonreduced_global,tabor2004//e1_3/nonreduced_global,The health officials pounced on a restaurant which was flown a shipment of salmon by a company.,none,,,,,1
tabor2004,tabor2004//e1_3/reduced_global,tabor2004//e1_3/nonreduced_global,The health officials pounced on a restaurant which was flown a shipment of salmon by a company.,ins,ins,,which was,,1
tabor2004,tabor2004//e1_3/nonreduced_local,tabor2004//e1_3/nonreduced_local,The health officials pounced on a restaurant which was sent a shipment of salmon by a company.,none,,,,,1
tabor2004,tabor2004//e1_3/reduced_local,tabor2004//e1_3/nonreduced_local,The health officials pounced on a restaurant which was sent a shipment of salmon by a company.,ins,ins,,which was,,1
tabor2004,tabor2004//e1_4/nonreduced_global,tabor2004//e1_4/nonreduced_global,"At the dinner party, I met a man who was forbidden the pleasure of eating sweets by his doctor.",none,,,,,1
tabor2004,tabor2004//e1_4/reduced_global,tabor2004//e1_4/nonreduced_global,"At the dinner party, I met a man who was forbidden the pleasure of eating sweets by his doctor.",ins,ins,,who was,,1
tabor2004,tabor2004//e1_4/nonreduced_local,tabor2004//e1_4/nonreduced_local,"At the dinner party, I met a man who was allowed the pleasure of eating sweets by his doctor.",none,,,,,1
tabor2004,tabor2004//e1_4/reduced_local,tabor2004//e1_4/nonreduced_local,"At the dinner party, I met a man who was allowed the pleasure of eating sweets by his doctor.",ins,ins,,who was,,1
tabor2004,tabor2004//e1_5/nonreduced_global,tabor2004//e1_5/nonreduced_global,One should respect a man who is forgiven his sins by his own god.,none,,,,,1
tabor2004,tabor2004//e1_5/reduced_global,tabor2004//e1_5/nonreduced_global,One should respect a man who is forgiven his sins by his own god.,ins,ins,,who is,,1
tabor2004,tabor2004//e1_5/nonreduced_local,tabor2004//e1_5/nonreduced_local,One should respect a man who is told his sins by his own god.,none,,,,,1
tabor2004,tabor2004//e1_5/reduced_local,tabor2004//e1_5/nonreduced_local,One should respect a man who is told his sins by his own god.,ins,ins,,who is,,1
tabor2004,tabor2004//e1_6/nonreduced_global,tabor2004//e1_6/nonreduced_global,An elderly gentleman addressed the woman who was given a beer by the hostess.,none,,,,,1
tabor2004,tabor2004//e1_6/reduced_global,tabor2004//e1_6/nonreduced_global,An elderly gentleman addressed the woman who was given a beer by the hostess.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_6/nonreduced_local,tabor2004//e1_6/nonreduced_local,An elderly gentleman addressed the woman who was offered a beer by the hostess.,none,,,,,1
tabor2004,tabor2004//e1_6/reduced_local,tabor2004//e1_6/nonreduced_local,An elderly gentleman addressed the woman who was offered a beer by the hostess.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_8/nonreduced_global,tabor2004//e1_8/nonreduced_global,The manager watched a waiter who was given pea soup by a trainee.,none,,,,,1
tabor2004,tabor2004//e1_8/reduced_global,tabor2004//e1_8/nonreduced_global,The manager watched a waiter who was given pea soup by a trainee.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_8/nonreduced_local,tabor2004//e1_8/nonreduced_local,The manager watched a waiter who was served pea soup by a trainee.,none,,,,,1
tabor2004,tabor2004//e1_8/reduced_local,tabor2004//e1_8/nonreduced_local,The manager watched a waiter who was served pea soup by a trainee.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_10/nonreduced_global,tabor2004//e1_10/nonreduced_global,The foreman yelled at a carpenter who was sawn a board by his buddy.,none,,,,,1
tabor2004,tabor2004//e1_10/reduced_global,tabor2004//e1_10/nonreduced_global,The foreman yelled at a carpenter who was sawn a board by his buddy.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_10/nonreduced_local,tabor2004//e1_10/nonreduced_local,The foreman yelled at a carpenter who was cut a board by his buddy.,none,,,,,1
tabor2004,tabor2004//e1_10/reduced_local,tabor2004//e1_10/nonreduced_local,The foreman yelled at a carpenter who was cut a board by his buddy.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_11/nonreduced_global,tabor2004//e1_11/nonreduced_global,The preschool teacher congratulated the little boy who was sewn a hat by his grandmother.,none,,,,,1
tabor2004,tabor2004//e1_11/reduced_global,tabor2004//e1_11/nonreduced_global,The preschool teacher congratulated the little boy who was sewn a hat by his grandmother.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_11/nonreduced_local,tabor2004//e1_11/nonreduced_local,The preschool teacher congratulated the little boy who was knitted a hat by his grandmother.,none,,,,,1
tabor2004,tabor2004//e1_11/reduced_local,tabor2004//e1_11/nonreduced_local,The preschool teacher congratulated the little boy who was knitted a hat by his grandmother.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_12/nonreduced_global,tabor2004//e1_12/nonreduced_global,The janitor chatted with the young man who was shown an apartment by his uncle.,none,,,,,1
tabor2004,tabor2004//e1_12/reduced_global,tabor2004//e1_12/nonreduced_global,The janitor chatted with the young man who was shown an apartment by his uncle.,ins,ins,,who was,,1
tabor2004,tabor2004//e1_12/nonreduced_local,tabor2004//e1_12/nonreduced_local,The janitor chatted with the young man who was rented an apartment by his uncle.,none,,,,,1
