item_id,family,condition,expected,observed,intended,map,p_map,p_intended,p_observed,matches,logZ
SUBW-01a,SUBW,implausible,edit,The storyteller told an amusing antidote.,The storyteller told an amusing anecdote.,The storyteller told an amusing anecdote.,0.916,0.919,0.068,intended,-70.57
SUBW-01b,SUBW,plausible,keep,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,1.0,1.0,1.0,intended,-55.47
SUBW-02a,SUBW,implausible,edit,The medic treated the wound to prevent an inflection.,The medic treated the wound to prevent an infection.,The medic treated the wound to prevent an infection.,0.91,0.943,0,intended,-72.41
SUBW-02b,SUBW,plausible,keep,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,0.789,1.0,1.0,intended,-64.45
SUBW-03a,SUBW,implausible,edit,The judge cited an important president.,The judge cited an important precedent.,The judge cited an important president.,0.367,0.199,0.465,observed,-61.76
SUBW-03b,SUBW,plausible,keep,The board elected a new president.,The board elected a new president.,The Board elected a new president.,0.827,0.996,0.996,intended,-36.08
SUBW-04a,SUBW,implausible,edit,The explorers trekked across the scorching dessert.,The explorers trekked across the scorching desert.,The explorers trekked across the scorching desert.,0.811,0.842,0,intended,-75.97
SUBW-04b,SUBW,plausible,keep,She ordered a rich chocolate dessert.,She ordered a rich chocolate dessert.,She has ordered a rich chocolate dessert.,1.0,0,0,other,-56.15
SUBW-05a,SUBW,implausible,edit,He wore a very causal shirt to the wedding.,He wore a very casual shirt to the wedding.,He's been wore a very casual shirt to the wedding.,0.585,0,0,other,-70.15
SUBW-05b,SUBW,plausible,keep,They studied the causal link between the variables.,They studied the causal link between the variables.,They studied the causal link between the two variables.,0.977,0.023,0.023,other,-51.54
SUBW-06a,SUBW,implausible,edit,She gave him a lovely complement on his cooking.,She gave him a lovely compliment on his cooking.,She gave him a lovely little compliment on his cooking.,0.996,0,0,other,-61.67
