item_id,family,expected,observed,target,off_map,la_map,off_ok,la_ok,off_ok_ci,la_ok_ci,off_edited,la_edited,off_del0,la_del0,off_plit,la_plit,off_logZ,la_logZ,dlogZ,off_spread,la_spread
SUBW-01a,SUBW,edit,The storyteller told an amusing antidote.,The storyteller told an amusing anecdote.,The storyteller told an amusing anecdote.,The author is storyteller told an amusing anecdote.,1,0,1,0,1,1,1.9975012460522645,0.33821644745169444,0.044584,0.0,-70.88789010980193,-74.82348468850431,-3.9355945787023785,0.087,6.443
SUBW-01b,SUBW,keep,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,1,1,1,1,0,0,1.9429119150547507,5.412189703428033e-07,0.505838,1.0,-67.49647713228852,-58.73194462241842,8.7645325098701,0.163,0.08
SUBW-02a,SUBW,edit,The medic treated the wound to prevent an inflection.,The medic treated the wound to prevent an infection.,The medic treated the wound to prevent an infection.,The medic treated the wound to prevent an infection.,1,1,1,1,1,1,1.9979323352569505,2.1437997356842568e-07,0.0,0.0,-72.53944644140702,-66.9479036537943,5.591542787612724,0.49,2.619
SUBW-02b,SUBW,keep,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,1,1,1,1,0,0,1.9912149502529832,3.1392180777061394e-06,0.956271,0.994783,-64.71457439765418,-53.911643810959326,10.802930586694849,1.096,0.44
SUBW-03a,SUBW,edit,The judge cited an important president.,The judge cited an important precedent.,The judge cited an important importance to president.,The judge cited an important president.,0,0,0,0,1,0,0.056561647679001424,1.2019347460210068e-05,0.015988,0.99999,-59.06700360253923,-52.5499163736441,6.517087228895129,3.537,1.471
SUBW-03b,SUBW,keep,The board elected a new president.,The board elected a new president.,The Board elected a new president.,The Board elected a new president.,0,0,1,1,1,1,1.567377874814719e-05,1.2794965910994886e-05,0.0,0.0,-35.50729856397376,-34.79575144726332,0.7115471167104417,0.082,0.315
SUBW-04a,SUBW,edit,The explorers trekked across the scorching dessert.,The explorers trekked across the scorching desert.,The explorers trekked across the scorching desert.,The explorers trekked across the scorching desert.,1,1,1,1,1,1,1.9999838093521793,1.3801579883480763,0.0,0.0,-75.00261544562484,-74.91317117902042,0.08944426660441707,1.873,0.801
SUBW-04b,SUBW,keep,She ordered a rich chocolate dessert.,She ordered a rich chocolate dessert.,She’s ordered a rich chocolate dessert.,She ordered a rich chocolate dessert.,0,1,0,1,1,0,0.000248328841831899,9.688590097485806e-08,0.0,0.999964,-60.37343938519207,-48.77866990258155,11.594769482610523,1.243,0.125
SUBW-05a,SUBW,edit,He wore a very causal shirt to the wedding.,He wore a very casual shirt to the wedding.,I wore a very casual shirt to the wedding.,He wore a very casual shirt to the wedding.,0,1,0,1,1,1,1.256310577784527,3.319185660171401e-07,0.0,0.0,-69.10975011126708,-53.48560385411178,15.624146257155296,15.663,1.155
SUBW-05b,SUBW,keep,They studied the causal link between the variables.,They studied the causal link between the variables.,# They studied the causal link between the variables.,They studied the causal link between the variables.,0,1,0,1,1,0,1.9717922752583106,4.7650089399740736e-07,0.234169,0.999997,-64.88362043559295,-51.20301164013726,13.680608795455683,0.227,2.129
SUBW-06a,SUBW,edit,She gave him a lovely complement on his cooking.,She gave him a lovely compliment on his cooking.,She gave him a lovely complement of his cooking.,She gave him a lovely compliment on his cooking.,0,1,0,1,1,1,1.49615207316479e-07,4.404839513759694e-08,0.0,0.020613,-60.943546484464704,-55.21800448578613,5.7255419986785725,8.313,5.932
SUBW-06b,SUBW,keep,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,The wine was a perfect complement to the meal.,1,1,1,1,0,0,1.0514766816897365e-05,7.608793852675216e-06,0.992328,1.0,-48.429606263501746,-48.17166958588538,0.25793667761636385,4.863,0.468
SUBN-01a,SUBN,edit,Did you recieve the message?,Did you receive the message?,Did you receive the message?,Did you receive the message?,1,1,1,1,1,1,2.460804505508505e-08,3.07681989794269e-08,0.0,0.0,-31.962881056893437,-31.630062018726694,0.3328190381667433,0.825,0.863
SUBN-01b,SUBN,keep,Did you receive the message?,Did you receive the message?,Did you receive the message?,Did you receive the message?,1,1,1,1,0,0,0.0002105270384209379,2.431765754526654e-08,0.97138,0.964309,-28.18020178310254,-28.003910202168036,0.17629158093450314,0.321,0.506
SUBN-02a,SUBN,edit,The boy did an experimemt today.,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,1,1,1,1,1,1,1.4641257489543573,1.0660751263610625e-05,0.0,0.0,-59.63183686614732,-50.316332555006824,9.315504311140494,0.845,1.784
SUBN-02b,SUBN,keep,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,The boy did an experiment today.,1,1,1,1,0,0,8.796935067076917e-05,1.7678606013760536e-06,0.999946,0.672111,-45.56316793866134,-46.00073945419794,-0.4375715155366038,10.492,0.199
SUBN-03a,SUBN,edit,She definately agreed with the plan.,She definitely agreed with the plan.,The definately agreed with the plan.,She definately agreed with the plan.,0,0,0,0,1,0,1.8793243733401823,2.0963611457698114e-07,0.0,0.761904,-58.7028255785282,-43.083054794829195,15.619770783699003,0.096,15.318
SUBN-03b,SUBN,keep,She definitely agreed with the plan.,She definitely agreed with the plan.,She's definitely agreed with the plan.,She definitely agreed with the plan.,0,1,0,1,1,0,3.729876733980886e-05,8.165452787696457e-08,0.0,1.0,-44.452603742680225,-38.11820539362265,6.334398349057572,7.616,1.098
SUBN-04a,SUBN,edit,The mountian was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,- The mountain was covered in snow.,1,0,1,0,1,1,1.9999549473512395,1.9983629409147714,0.0,0.0,-51.43769285156718,-51.85591268764037,-0.4182198360731917,0.254,7.115
SUBN-04b,SUBN,keep,The mountain was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,The mountain was covered in snow.,1,1,1,1,0,0,4.464620534414809e-05,5.677604123960247e-06,0.999982,1.0,-36.98113733316957,-37.01388814734223,-0.03275081417265824,10.515,0.272
SUBN-05a,SUBN,edit,They reciesofted the parcel yesterday.,They received the parcel yesterday.,They’ve got the parcel yesterday.,They’re the best parcel yesterday.,0,0,0,0,1,1,0.0003038382439321993,6.6881125857717645e-06,0.0,0.0,-74.95537696475756,-78.70134573817646,-3.7459687734188947,6.629,4.116
SUBN-06a,SUBN,edit,The chef seasoned the suop.,The chef seasoned the soup.,The chef seasoned the soup.,The chef seasoned the author.,1,0,1,0,1,1,1.9999765263507376,1.7299890729287762e-06,0.0,0.0,-62.09806271080937,-60.31806498051065,1.7799977302987244,0.516,3.522
