dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
chen2023,chen2023/dopo_to/1/DO_plausible.none,chen2023/dopo_to/1/DO_plausible.none,The sister mailed the niece the letter.,none,,,,,1
chen2023,chen2023/dopo_to/1/DO_implausible.none,chen2023/dopo_to/1/PO_plausible.none,The sister mailed the letter to the niece.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/1/PO_plausible.none,chen2023/dopo_to/1/PO_plausible.none,The sister mailed the letter to the niece.,none,,,,,1
chen2023,chen2023/dopo_to/1/PO_implausible.none,chen2023/dopo_to/1/DO_plausible.none,The sister mailed the niece the letter.,del,del,to,,5,1
chen2023,chen2023/dopo_to/2/DO_plausible.none,chen2023/dopo_to/2/DO_plausible.none,The mother gave the daughter the candle.,none,,,,,1
chen2023,chen2023/dopo_to/2/DO_implausible.none,chen2023/dopo_to/2/PO_plausible.none,The mother gave the candle to the daughter.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/2/PO_plausible.none,chen2023/dopo_to/2/PO_plausible.none,The mother gave the candle to the daughter.,none,,,,,1
chen2023,chen2023/dopo_to/2/PO_implausible.none,chen2023/dopo_to/2/DO_plausible.none,The mother gave the daughter the candle.,del,del,to,,5,1
chen2023,chen2023/dopo_to/3/DO_plausible.none,chen2023/dopo_to/3/DO_plausible.none,The uncle sold the father the truck.,none,,,,,1
chen2023,chen2023/dopo_to/3/DO_implausible.none,chen2023/dopo_to/3/PO_plausible.none,The uncle sold the truck to the father.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/3/PO_plausible.none,chen2023/dopo_to/3/PO_plausible.none,The uncle sold the truck to the father.,none,,,,,1
chen2023,chen2023/dopo_to/3/PO_implausible.none,chen2023/dopo_to/3/DO_plausible.none,The uncle sold the father the truck.,del,del,to,,5,1
chen2023,chen2023/dopo_to/4/DO_plausible.none,chen2023/dopo_to/4/DO_plausible.none,The contractor lent the homeowner the saw.,none,,,,,1
chen2023,chen2023/dopo_to/4/DO_implausible.none,chen2023/dopo_to/4/PO_plausible.none,The contractor lent the saw to the homeowner.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/4/PO_plausible.none,chen2023/dopo_to/4/PO_plausible.none,The contractor lent the saw to the homeowner.,none,,,,,1
chen2023,chen2023/dopo_to/4/PO_implausible.none,chen2023/dopo_to/4/DO_plausible.none,The contractor lent the homeowner the saw.,del,del,to,,5,1
chen2023,chen2023/dopo_to/5/DO_plausible.none,chen2023/dopo_to/5/DO_plausible.none,The sailing club leased the man the boat.,none,,,,,1
chen2023,chen2023/dopo_to/5/DO_implausible.none,chen2023/dopo_to/5/PO_plausible.none,The sailing club leased the boat to the man.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/5/PO_plausible.none,chen2023/dopo_to/5/PO_plausible.none,The sailing club leased the boat to the man.,none,,,,,1
chen2023,chen2023/dopo_to/5/PO_implausible.none,chen2023/dopo_to/5/DO_plausible.none,The sailing club leased the man the boat.,del,del,to,,6,1
chen2023,chen2023/dopo_to/6/DO_plausible.none,chen2023/dopo_to/6/DO_plausible.none,The girl tossed the boy the apple.,none,,,,,1
chen2023,chen2023/dopo_to/6/DO_implausible.none,chen2023/dopo_to/6/PO_plausible.none,The girl tossed the apple to the boy.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/6/PO_plausible.none,chen2023/dopo_to/6/PO_plausible.none,The girl tossed the apple to the boy.,none,,,,,1
chen2023,chen2023/dopo_to/6/PO_implausible.none,chen2023/dopo_to/6/DO_plausible.none,The girl tossed the boy the apple.,del,del,to,,5,1
chen2023,chen2023/dopo_to/7/DO_plausible.none,chen2023/dopo_to/7/DO_plausible.none,The daughter passed the mother the bowl.,none,,,,,1
chen2023,chen2023/dopo_to/7/DO_implausible.none,chen2023/dopo_to/7/PO_plausible.none,The daughter passed the bowl to the mother.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/7/PO_plausible.none,chen2023/dopo_to/7/PO_plausible.none,The daughter passed the bowl to the mother.,none,,,,,1
chen2023,chen2023/dopo_to/7/PO_implausible.none,chen2023/dopo_to/7/DO_plausible.none,The daughter passed the mother the bowl.,del,del,to,,5,1
chen2023,chen2023/dopo_to/8/DO_plausible.none,chen2023/dopo_to/8/DO_plausible.none,The scuba instructor rented the tourist the equipment.,none,,,,,1
chen2023,chen2023/dopo_to/8/DO_implausible.none,chen2023/dopo_to/8/PO_plausible.none,The scuba instructor rented the equipment to the tourist.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/8/PO_plausible.none,chen2023/dopo_to/8/PO_plausible.none,The scuba instructor rented the equipment to the tourist.,none,,,,,1
chen2023,chen2023/dopo_to/8/PO_implausible.none,chen2023/dopo_to/8/DO_plausible.none,The scuba instructor rented the tourist the equipment.,del,del,to,,6,1
chen2023,chen2023/dopo_to/9/DO_plausible.none,chen2023/dopo_to/9/DO_plausible.none,The boy handed the girl the pencil.,none,,,,,1
chen2023,chen2023/dopo_to/9/DO_implausible.none,chen2023/dopo_to/9/PO_plausible.none,The boy handed the pencil to the girl.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/9/PO_plausible.none,chen2023/dopo_to/9/PO_plausible.none,The boy handed the pencil to the girl.,none,,,,,1
chen2023,chen2023/dopo_to/9/PO_implausible.none,chen2023/dopo_to/9/DO_plausible.none,The boy handed the girl the pencil.,del,del,to,,5,1
chen2023,chen2023/dopo_to/10/DO_plausible.none,chen2023/dopo_to/10/DO_plausible.none,The nanny threw the child the toy.,none,,,,,1
chen2023,chen2023/dopo_to/10/DO_implausible.none,chen2023/dopo_to/10/PO_plausible.none,The nanny threw the toy to the child.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/10/PO_plausible.none,chen2023/dopo_to/10/PO_plausible.none,The nanny threw the toy to the child.,none,,,,,1
chen2023,chen2023/dopo_to/10/PO_implausible.none,chen2023/dopo_to/10/DO_plausible.none,The nanny threw the child the toy.,del,del,to,,5,1
chen2023,chen2023/dopo_to/11/DO_plausible.none,chen2023/dopo_to/11/DO_plausible.none,The nephew mailed the aunt the postcard.,none,,,,,1
chen2023,chen2023/dopo_to/11/DO_implausible.none,chen2023/dopo_to/11/PO_plausible.none,The nephew mailed the postcard to the aunt.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/11/PO_plausible.none,chen2023/dopo_to/11/PO_plausible.none,The nephew mailed the postcard to the aunt.,none,,,,,1
chen2023,chen2023/dopo_to/11/PO_implausible.none,chen2023/dopo_to/11/DO_plausible.none,The nephew mailed the aunt the postcard.,del,del,to,,5,1
chen2023,chen2023/dopo_to/12/DO_plausible.none,chen2023/dopo_to/12/DO_plausible.none,The father gave the son the car.,none,,,,,1
chen2023,chen2023/dopo_to/12/DO_implausible.none,chen2023/dopo_to/12/PO_plausible.none,The father gave the car to the son.,ins,ins,,to,,1
chen2023,chen2023/dopo_to/12/PO_plausible.none,chen2023/dopo_to/12/PO_plausible.none,The father gave the car to the son.,none,,,,,1
chen2023,chen2023/dopo_to/12/PO_implausible.none,chen2023/dopo_to/12/DO_plausible.none,The father gave the son the car.,del,del,to,,5,1
chen2023,chen2023/dopo_to/13/DO_plausible.none,chen2023/dopo_to/13/DO_plausible.none,The shop sold the student the bike.,none,,,,,1
