dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
ryskin2021,ryskin2021//1/Control,ryskin2021//1/Control,Someone who has fought in a war is a veteran.,none,,,,,1
ryskin2021,ryskin2021//1/SemCrit,ryskin2021//1/Control,Someone who has fought in a war is a veteran.,sub,sub,veterinarian.,veteran.,9,1
ryskin2021,ryskin2021//1/Sem,ryskin2021//1/Control,Someone who has fought in a war is a veteran.,sub,sub,rhinestone.,veteran.,9,1
ryskin2021,ryskin2021//1/Synt,ryskin2021//1/Control,Someone who has fought in a war is a veteran.,sub,sub,veterans.,veteran.,9,1
ryskin2021,ryskin2021//2/Control,ryskin2021//2/Control,The woman brought her sick pet dog to a veterinarian.,none,,,,,1
ryskin2021,ryskin2021//2/SemCrit,ryskin2021//2/Control,The woman brought her sick pet dog to a veterinarian.,sub,sub,veteran.,veterinarian.,9,1
ryskin2021,ryskin2021//2/Sem,ryskin2021//2/Control,The woman brought her sick pet dog to a veterinarian.,sub,sub,carton.,veterinarian.,9,1
ryskin2021,ryskin2021//2/Synt,ryskin2021//2/Control,The woman brought her sick pet dog to a veterinarian.,sub,sub,veterinarians.,veterinarian.,9,1
ryskin2021,ryskin2021//3/Control,ryskin2021//3/Control,The vintage wedding dress was big and required an alteration.,none,,,,,1
ryskin2021,ryskin2021//3/SemCrit,ryskin2021//3/Control,The vintage wedding dress was big and required an alteration.,sub,sub,altercation.,alteration.,9,1
ryskin2021,ryskin2021//3/Sem,ryskin2021//3/Control,The vintage wedding dress was big and required an alteration.,sub,sub,inferno.,alteration.,9,1
ryskin2021,ryskin2021//3/Synt,ryskin2021//3/Control,The vintage wedding dress was big and required an alteration.,sub,sub,alterations.,alteration.,9,1
ryskin2021,ryskin2021//4/Control,ryskin2021//4/Control,Mediators prevented the dispute from escalating into a violent altercation.,none,,,,,1
ryskin2021,ryskin2021//4/SemCrit,ryskin2021//4/Control,Mediators prevented the dispute from escalating into a violent altercation.,sub,sub,alteration.,altercation.,9,1
ryskin2021,ryskin2021//4/Sem,ryskin2021//4/Control,Mediators prevented the dispute from escalating into a violent altercation.,sub,sub,muskrat.,altercation.,9,1
ryskin2021,ryskin2021//4/Synt,ryskin2021//4/Control,Mediators prevented the dispute from escalating into a violent altercation.,sub,sub,altercations.,altercation.,9,1
ryskin2021,ryskin2021//5/Control,ryskin2021//5/Control,The storyteller could turn any incident into an amusing anecdote.,none,,,,,1
ryskin2021,ryskin2021//5/SemCrit,ryskin2021//5/Control,The storyteller could turn any incident into an amusing anecdote.,sub,sub,antidote.,anecdote.,9,1
ryskin2021,ryskin2021//5/Sem,ryskin2021//5/Control,The storyteller could turn any incident into an amusing anecdote.,sub,sub,hearse.,anecdote.,9,1
ryskin2021,ryskin2021//5/Synt,ryskin2021//5/Control,The storyteller could turn any incident into an amusing anecdote.,sub,sub,anecdotes.,anecdote.,9,1
