dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
gibson2013,gibson2013/dopo_to/1/DO_implausible,gibson2013/dopo_to/1/PO_plausible,The sister mailed the letter to the niece.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/1/DO_plausible,gibson2013/dopo_to/1/DO_plausible,The sister mailed the niece the letter.,none,,,,,1
gibson2013,gibson2013/dopo_to/1/PO_implausible,gibson2013/dopo_to/1/DO_plausible,The sister mailed the niece the letter.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/1/PO_plausible,gibson2013/dopo_to/1/PO_plausible,The sister mailed the letter to the niece.,none,,,,,1
gibson2013,gibson2013/dopo_to/2/DO_implausible,gibson2013/dopo_to/2/PO_plausible,The mother gave the candle to the daughter.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/2/DO_plausible,gibson2013/dopo_to/2/DO_plausible,The mother gave the daughter the candle.,none,,,,,1
gibson2013,gibson2013/dopo_to/2/PO_implausible,gibson2013/dopo_to/2/DO_plausible,The mother gave the daughter the candle.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/2/PO_plausible,gibson2013/dopo_to/2/PO_plausible,The mother gave the candle to the daughter.,none,,,,,1
gibson2013,gibson2013/dopo_to/3/DO_implausible,gibson2013/dopo_to/3/PO_plausible,The uncle sold the truck to the father.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/3/DO_plausible,gibson2013/dopo_to/3/DO_plausible,The uncle sold the father the truck.,none,,,,,1
gibson2013,gibson2013/dopo_to/3/PO_implausible,gibson2013/dopo_to/3/DO_plausible,The uncle sold the father the truck.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/3/PO_plausible,gibson2013/dopo_to/3/PO_plausible,The uncle sold the truck to the father.,none,,,,,1
gibson2013,gibson2013/dopo_to/4/DO_implausible,gibson2013/dopo_to/4/PO_plausible,The contractor lent the saw to the homeowner.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/4/DO_plausible,gibson2013/dopo_to/4/DO_plausible,The contractor lent the homeowner the saw.,none,,,,,1
gibson2013,gibson2013/dopo_to/4/PO_implausible,gibson2013/dopo_to/4/DO_plausible,The contractor lent the homeowner the saw.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/4/PO_plausible,gibson2013/dopo_to/4/PO_plausible,The contractor lent the saw to the homeowner.,none,,,,,1
gibson2013,gibson2013/dopo_to/5/DO_implausible,gibson2013/dopo_to/5/PO_plausible,The sailing club leased the boat to the man.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/5/DO_plausible,gibson2013/dopo_to/5/DO_plausible,The sailing club leased the man the boat.,none,,,,,1
gibson2013,gibson2013/dopo_to/5/PO_implausible,gibson2013/dopo_to/5/DO_plausible,The sailing club leased the man the boat.,del,del,to,,6,1
gibson2013,gibson2013/dopo_to/5/PO_plausible,gibson2013/dopo_to/5/PO_plausible,The sailing club leased the boat to the man.,none,,,,,1
gibson2013,gibson2013/dopo_to/6/DO_implausible,gibson2013/dopo_to/6/PO_plausible,The girl tossed the apple to the boy.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/6/DO_plausible,gibson2013/dopo_to/6/DO_plausible,The girl tossed the boy the apple.,none,,,,,1
gibson2013,gibson2013/dopo_to/6/PO_implausible,gibson2013/dopo_to/6/DO_plausible,The girl tossed the boy the apple.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/6/PO_plausible,gibson2013/dopo_to/6/PO_plausible,The girl tossed the apple to the boy.,none,,,,,1
gibson2013,gibson2013/dopo_to/7/DO_implausible,gibson2013/dopo_to/7/PO_plausible,The daughter passed the bowl to the mother.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/7/DO_plausible,gibson2013/dopo_to/7/DO_plausible,The daughter passed the mother the bowl.,none,,,,,1
gibson2013,gibson2013/dopo_to/7/PO_implausible,gibson2013/dopo_to/7/DO_plausible,The daughter passed the mother the bowl.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/7/PO_plausible,gibson2013/dopo_to/7/PO_plausible,The daughter passed the bowl to the mother.,none,,,,,1
gibson2013,gibson2013/dopo_to/8/DO_implausible,gibson2013/dopo_to/8/PO_plausible,The scuba instructor rented the equipment to the tourist.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/8/DO_plausible,gibson2013/dopo_to/8/DO_plausible,The scuba instructor rented the tourist the equipment.,none,,,,,1
gibson2013,gibson2013/dopo_to/8/PO_implausible,gibson2013/dopo_to/8/DO_plausible,The scuba instructor rented the tourist the equipment.,del,del,to,,6,1
gibson2013,gibson2013/dopo_to/8/PO_plausible,gibson2013/dopo_to/8/PO_plausible,The scuba instructor rented the equipment to the tourist.,none,,,,,1
gibson2013,gibson2013/dopo_to/9/DO_implausible,gibson2013/dopo_to/9/PO_plausible,The boy handed the pencil to the girl.,ins,ins,,to,,1
gibson2013,gibson2013/dopo_to/9/DO_plausible,gibson2013/dopo_to/9/DO_plausible,The boy handed the girl the pencil.,none,,,,,1
gibson2013,gibson2013/dopo_to/9/PO_implausible,gibson2013/dopo_to/9/DO_plausible,The boy handed the girl the pencil.,del,del,to,,5,1
gibson2013,gibson2013/dopo_to/9/PO_plausible,gibson2013/dopo_to/9/PO_plausible,The boy handed the pencil to the girl.,none,,,,,1
gibson2013,gibson2013/dopo_to/10/DO_implausible,gibson2013/dopo_to/10/PO_plausible,The nanny threw the toy to the child.,ins,ins,,to,,1
