item_id,family,expected,observed,target,la_map,lap_map,la_ok,lap_ok,la_ok_ci,lap_ok_ci,la_edited,lap_edited,la_del0,lap_del0,la_delany,lap_delany,la_plit,lap_plit,la_logZ,lap_logZ,dlogZ,la_spread,lap_spread
SUBW-01a,SUBW,edit,The storyteller told an amusing antidote.,The storyteller told an amusing anecdote.,The storyteller told an amusing anecdote.,The storyteller told an amusing anecdote.,1,1,1,1,1,1,1.9794900879607693,0.0031154225086152242,1.9794900879607693,0.014928410821193285,0.070503,0.04666,-71.10496295413623,-61.34384760659627,9.761115347539956,10.844,0.89
SUBW-01b,SUBW,keep,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,The doctor prepared a fast-acting antidote.,1,1,1,1,0,0,6.005159116224827e-07,3.381794128644183e-06,0.0007598316575707912,6.678983277785621e-05,0.99924,0.456506,-59.42429763367573,-58.99192950642011,0.43236812725562146,8.174,1.858
SUBW-02a,SUBW,edit,The medic treated the wound to prevent an inflection.,The medic treated the wound to prevent an infection.,The medic treated the wound to prevent an infection.,The media treated the wound to prevent an infection.,1,0,1,0,1,1,2.3268501821978674e-07,5.533816419165548e-06,0.08907919173046275,9.490222763563667e-05,0.0,0.0,-67.61811218410642,-63.720886683168466,3.8972255009379566,7.702,0.351
SUBW-02b,SUBW,keep,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,The teacher explained the verb's inflection.,1,1,1,1,0,0,8.56346151021986e-06,0.00012760337595477654,0.00016775804080985558,0.0001363504414234008,0.998884,0.99549,-53.06230807698311,-53.879213559181416,-0.8169054821983082,3.839,0.772
SUBW-03a,SUBW,edit,The judge cited an important president.,The judge cited an important precedent.,The judge cited an important president.,The judge cited an important president.,0,0,0,0,0,0,7.009776398039105e-06,2.489586074974552e-06,3.7398172964504315e-05,0.025354475685712773,0.47657,0.509255,-51.695410766478574,-51.32269022594907,0.37272054052950665,2.533,1.038
SUBW-03b,SUBW,keep,The board elected a new president.,The board elected a new president.,The Board elected a new president.,The Board elected a new president.,0,0,1,1,1,1,9.701610523182195e-06,3.9970697283887726e-06,0.00015418724367300917,0.00017262371214639687,0.048365,0.099217,-35.076048849849045,-35.93842216507253,-0.8623733152234863,1.288,0.325
SUBW-04a,SUBW,edit,The explorers trekked across the scorching dessert.,The explorers trekked across the scorching desert.,The explorer trekked across the scorching desert.,The explorers trekked across the scorching desert.,0,1,0,1,1,1,1.5195662880092133,3.847327156274168e-06,1.5195662880092133,5.983076483625773e-05,0.0,0.0,-75.28237319652744,-67.12050489592025,8.161868300607196,16.554,0.648
SUBW-04b,SUBW,keep,She ordered a rich chocolate dessert.,She ordered a rich chocolate dessert.,She ordered a rich chocolate dessert.,She ordered a rich chocolate dessert.,1,1,1,1,0,0,9.236395817127794e-08,2.3405197312034866e-07,0.00048112102564185376,0.0050695826804707,0.999493,0.994931,-49.151865266131516,-48.2014505091308,0.9504147570007149,6.687,0.874
SUBW-05a,SUBW,edit,He wore a very causal shirt to the wedding.,He wore a very casual shirt to the wedding.,He wore a very casual shirt to the wedding.,He wore a very casual shirt to the wedding.,1,1,1,1,1,1,2.93163422353416e-07,4.865096598921006e-07,5.988352916972419e-06,9.969067719227313e-06,0.0,0.0,-53.93267726156507,-54.045102776064645,-0.11242551449957716,16.588,0.58
SUBW-05b,SUBW,keep,They studied the causal link between the variables.,They studied the causal link between the variables.,They studied the causal link between the variables.,They studied the causal link between the variables.,1,1,1,1,0,0,4.245463872099613e-07,3.179564934570563e-07,1.3706540703022645e-05,0.015503407700674345,0.997121,0.842615,-51.67438670831428,-51.199707355298635,0.47467935301564523,3.558,0.422
