Item,Type,Structure,Plausibility,Sentence,Question,Answer
1,Target,DO,implausible,The cook baked a cake Lucy.,Was something baked for Lucy?,No
1,Target,DO,plausible,The cook baked Lucy a cake.,Was something baked for Lucy?,Yes
1,Target,PO,implausible,The cook baked Lucy for a cake.,Was something baked for Lucy?,No
1,Target,PO,plausible,The cook baked a cake for Lucy.,Was something baked for Lucy?,Yes
2,Target,DO,implausible,The bartender poured a drink the customer.,Was something poured for the customer?,No
2,Target,DO,plausible,The bartender poured the customer a drink.,Was something poured for the customer?,Yes
2,Target,PO,implausible,The bartender poured the customer for a drink.,Was something poured for the customer?,No
2,Target,PO,plausible,The bartender poured a drink for the customer.,Was something poured for the customer?,Yes
3,Target,DO,implausible,The woman saved a seat her husband.,Was something saved for the husband?,No
3,Target,DO,plausible,The woman saved her husband a seat.,Was something saved for the husband?,Yes
3,Target,PO,implausible,The woman saved her husband for a seat.,Was something saved for the husband?,No
3,Target,PO,plausible,The woman saved a seat for her husband.,Was something saved for the husband?,Yes
4,Target,DO,implausible,The grandmother made a quilt her granddaughter.,Was something made for the granddaughter?,No
4,Target,DO,plausible,The grandmother made her granddaughter a quilt.,Was something made for the granddaughter?,Yes
4,Target,PO,implausible,The grandmother made her granddaughter for a quilt.,Was something made for the granddaughter?,No
4,Target,PO,plausible,The grandmother made a quilt for her granddaughter.,Was something made for the granddaughter?,Yes
5,Target,DO,implausible,The apprentice fetched a hammer the carpenter.,Was something fetched for the carpenter?,No
5,Target,DO,plausible,The apprentice fetched the carpenter a hammer.,Was something fetched for the carpenter?,Yes
5,Target,PO,implausible,The apprentice fetched the carpenter for a hammer.,Was something fetched for the carpenter?,No
5,Target,PO,plausible,The apprentice fetched a hammer for the carpenter.,Was something fetched for the carpenter?,Yes
6,Target,DO,implausible,The secretary ordered some office supplies the boss.,Was something ordered for the boss?,No
6,Target,DO,plausible,The secretary ordered the boss some office supplies.,Was something ordered for the boss?,Yes
6,Target,PO,implausible,The secretary ordered the boss for some office supplies.,Was something ordered for the boss?,No
6,Target,PO,plausible,The secretary ordered some office supplies for the boss.,Was something ordered for the boss?,Yes
7,Target,DO,implausible,The wife reserved a table her husband.,Was something reserved for the husband?,No
7,Target,DO,plausible,The wife reserved her husband a table.,Was something reserved for the husband?,Yes
7,Target,PO,implausible,The wife reserved her husband for a table.,Was something reserved for the husband?,No
7,Target,PO,plausible,The wife reserved table for her husband.,Was something reserved for the husband?,Yes
8,Target,DO,implausible,The father bought a bicycle his son.,Was something bought for the son?,No
8,Target,DO,plausible,The father bought his son a bicycle.,Was something bought for the son?,Yes
8,Target,PO,implausible,The father bought his son for a bicycle.,Was something bought for the son?,No
8,Target,PO,plausible,The father bought a bicycle for his son.,Was something bought for the son?,Yes
9,Target,DO,implausible,The charity built a house the hurricane victim.,Was something built for the hurricane victim?,No
9,Target,DO,plausible,The charity built the hurricane victim a house.,Was something built for the hurricane victim?,Yes
9,Target,PO,implausible,The charity built the hurricane victim for a house.,Was something built for the hurricane victim?,No
9,Target,PO,plausible,The charity built a house for the hurricane victim.,Was something built for the hurricane victim?,Yes
10,Target,DO,implausible,The waitress fixed a sandwich the customer.,Was something fixed for the customer?,No
10,Target,DO,plausible,The waitress fixed the customer a sandwich.,Was something fixed for the customer?,Yes
10,Target,PO,implausible,The waitress fixed the customer for a sandwich.,Was something fixed for the customer?,No
