dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
clark2026,clark2026//0/1.1,clark2026//0/1.1,The boy kicked the big round ball into the net.,none,,,,,1
clark2026,clark2026//0/1.2,clark2026//0/2.2,The boy licked the big round lollipop with delight.,sub,sub,kicked,licked,2,1
clark2026,clark2026//0/2.1,clark2026//0/1.1,The boy kicked the big round ball into the net.,sub,sub,licked,kicked,2,1
clark2026,clark2026//0/2.2,clark2026//0/2.2,The boy licked the big round lollipop with delight.,none,,,,,1
clark2026,clark2026//0/Typo1.1,clark2026//0/1.1,The boy kicked the big round ball into the net.,sub,sub,kjcked,kicked,2,1
clark2026,clark2026//0/Typo2.2,clark2026//0/2.2,The boy licked the big round lollipop with delight.,sub,sub,ljcked,licked,2,1
clark2026,clark2026//1/1.1,clark2026//1/1.1,His band was apparently no longer performing live.,none,,,,,1
clark2026,clark2026//1/1.2,clark2026//1/2.2,His hand was apparently no longer bandaged tightly.,sub,sub,band,hand,1,1
clark2026,clark2026//1/2.1,clark2026//1/1.1,His band was apparently no longer performing live.,sub,sub,hand,band,1,1
clark2026,clark2026//1/2.2,clark2026//1/2.2,His hand was apparently no longer bandaged tightly.,none,,,,,1
clark2026,clark2026//1/Typo1.1,clark2026//1/1.1,His band was apparently no longer performing live.,sub,sub,bnd,band,1,1
clark2026,clark2026//1/Typo2.2,clark2026//1/2.2,His hand was apparently no longer bandaged tightly.,sub,sub,hnd,hand,1,1
clark2026,clark2026//2/1.1,clark2026//2/1.1,In the base were a wide range of soldiers from all over.,none,,,,,1
clark2026,clark2026//2/1.2,clark2026//2/2.2,In the vase were a wide range of flowers from my mom.,sub,sub,base,vase,2,1
clark2026,clark2026//2/2.1,clark2026//2/1.1,In the base were a wide range of soldiers from all over.,sub,sub,vase,base,2,1
clark2026,clark2026//2/2.2,clark2026//2/2.2,In the vase were a wide range of flowers from my mom.,none,,,,,1
