dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,critical_word_idx,comprehension_q,correct_answer,meta
chen2023,dopo_to,1,DO_plausible.none,chen2023/dopo_to/1/DO_plausible.none,The sister mailed the niece the letter.,the sister mailed the niece the letter .,The sister mailed the niece the letter.,,0,plausible,,dative,chen2023/dopo_to/1/DO_plausible.none,The sister mailed the niece the letter.,none,,,,,Did the niece receive something/someone?,Yes,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""DO_plausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/1/DO_plausible.none"", ""structure"": ""DO""}"
chen2023,dopo_to,1,DO_implausible.none,chen2023/dopo_to/1/DO_implausible.none,The sister mailed the letter the niece.,the sister mailed the letter the niece .,The sister mailed the letter the niece.,,1,implausible,,dative,chen2023/dopo_to/1/PO_plausible.none,The sister mailed the letter to the niece.,ins,ins,,to,,Did the niece receive something/someone?,No,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""DO_implausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/1/DO_plausible.none"", ""structure"": ""DO""}"
chen2023,dopo_to,1,PO_plausible.none,chen2023/dopo_to/1/PO_plausible.none,The sister mailed the letter to the niece.,the sister mailed the letter to the niece .,The sister mailed the letter to the niece.,,2,plausible,,dative,chen2023/dopo_to/1/PO_plausible.none,The sister mailed the letter to the niece.,none,,,,,Did the niece receive something/someone?,Yes,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""PO_plausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/1/PO_plausible.none"", ""structure"": ""PO""}"
chen2023,dopo_to,1,PO_implausible.none,chen2023/dopo_to/1/PO_implausible.none,The sister mailed the niece to the letter.,the sister mailed the niece to the letter .,The sister mailed the niece to the letter.,,3,implausible,,dative,chen2023/dopo_to/1/DO_plausible.none,The sister mailed the niece the letter.,del,del,to,,5,Did the niece receive something/someone?,No,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""PO_implausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/1/PO_plausible.none"", ""structure"": ""PO""}"
chen2023,dopo_to,2,DO_plausible.none,chen2023/dopo_to/2/DO_plausible.none,The mother gave the daughter the candle.,the mother gave the daughter the candle .,The mother gave the daughter the candle.,,4,plausible,,dative,chen2023/dopo_to/2/DO_plausible.none,The mother gave the daughter the candle.,none,,,,,Did the daughter receive something/someone?,Yes,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""DO_plausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/2/DO_plausible.none"", ""structure"": ""DO""}"
chen2023,dopo_to,2,DO_implausible.none,chen2023/dopo_to/2/DO_implausible.none,The mother gave the candle the daughter.,the mother gave the candle the daughter .,The mother gave the candle the daughter.,,5,implausible,,dative,chen2023/dopo_to/2/PO_plausible.none,The mother gave the candle to the daughter.,ins,ins,,to,,Did the daughter receive something/someone?,No,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""DO_implausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/2/DO_plausible.none"", ""structure"": ""DO""}"
chen2023,dopo_to,2,PO_plausible.none,chen2023/dopo_to/2/PO_plausible.none,The mother gave the candle to the daughter.,the mother gave the candle to the daughter .,The mother gave the candle to the daughter.,,6,plausible,,dative,chen2023/dopo_to/2/PO_plausible.none,The mother gave the candle to the daughter.,none,,,,,Did the daughter receive something/someone?,Yes,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""PO_plausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/2/PO_plausible.none"", ""structure"": ""PO""}"
chen2023,dopo_to,2,PO_implausible.none,chen2023/dopo_to/2/PO_implausible.none,The mother gave the daughter to the candle.,the mother gave the daughter to the candle .,The mother gave the daughter to the candle.,,7,implausible,,dative,chen2023/dopo_to/2/DO_plausible.none,The mother gave the daughter the candle.,del,del,to,,5,Did the daughter receive something/someone?,No,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""PO_implausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/2/PO_plausible.none"", ""structure"": ""PO""}"
chen2023,dopo_to,3,DO_plausible.none,chen2023/dopo_to/3/DO_plausible.none,The uncle sold the father the truck.,the uncle sold the father the truck .,The uncle sold the father the truck.,,8,plausible,,dative,chen2023/dopo_to/3/DO_plausible.none,The uncle sold the father the truck.,none,,,,,Did the father receive something/someone?,Yes,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""DO_plausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/3/DO_plausible.none"", ""structure"": ""DO""}"
chen2023,dopo_to,3,DO_implausible.none,chen2023/dopo_to/3/DO_implausible.none,The uncle sold the truck the father.,the uncle sold the truck the father .,The uncle sold the truck the father.,,9,implausible,,dative,chen2023/dopo_to/3/PO_plausible.none,The uncle sold the truck to the father.,ins,ins,,to,,Did the father receive something/someone?,No,"{""context_type"": ""none"", ""group"": ""dopo"", ""linger_cond"": ""DO_implausible"", ""same_structure_plausible_uid"": ""chen2023/dopo_to/3/DO_plausible.none"", ""structure"": ""DO""}"
