dataset,stim_uid,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,edit_obs_idx,n_repairs_for_stim
qian2023,qian2023//0/sss,qian2023//0/sss,The location of the star has caught attention of some astronomers.,none,,,,,1
qian2023,qian2023//0/ssp,qian2023//0/psp,The locations of the star have caught attention of some astronomers.,sub,sub,location,locations,1,2
qian2023,qian2023//0/ssp,qian2023//0/sss,The location of the star has caught attention of some astronomers.,sub,sub,have,has,5,2
qian2023,qian2023//0/sps,qian2023//0/sps,The location of the stars has caught attention of some astronomers.,none,,,,,1
qian2023,qian2023//0/spp,qian2023//0/ppp,The locations of the stars have caught attention of some astronomers.,sub,sub,location,locations,1,2
qian2023,qian2023//0/spp,qian2023//0/sps,The location of the stars has caught attention of some astronomers.,sub,sub,have,has,5,2
qian2023,qian2023//0/pss,qian2023//0/psp,The locations of the star have caught attention of some astronomers.,sub,sub,has,have,5,2
qian2023,qian2023//0/pss,qian2023//0/sss,The location of the star has caught attention of some astronomers.,sub,sub,locations,location,1,2
qian2023,qian2023//0/psp,qian2023//0/psp,The locations of the star have caught attention of some astronomers.,none,,,,,1
qian2023,qian2023//0/pps,qian2023//0/ppp,The locations of the stars have caught attention of some astronomers.,sub,sub,has,have,5,2
qian2023,qian2023//0/pps,qian2023//0/sps,The location of the stars has caught attention of some astronomers.,sub,sub,locations,location,1,2
qian2023,qian2023//0/ppp,qian2023//0/ppp,The locations of the stars have caught attention of some astronomers.,none,,,,,1
qian2023,qian2023//1/sss,qian2023//1/sss,The sound of the string is so gorgeous on this guitar.,none,,,,,1
qian2023,qian2023//1/ssp,qian2023//1/psp,The sounds of the string are so gorgeous on this guitar.,sub,sub,sound,sounds,1,2
qian2023,qian2023//1/ssp,qian2023//1/sss,The sound of the string is so gorgeous on this guitar.,sub,sub,are,is,5,2
qian2023,qian2023//1/sps,qian2023//1/sps,The sound of the strings is so gorgeous on this guitar.,none,,,,,1
qian2023,qian2023//1/spp,qian2023//1/ppp,The sounds of the strings are so gorgeous on this guitar.,sub,sub,sound,sounds,1,2
qian2023,qian2023//1/spp,qian2023//1/sps,The sound of the strings is so gorgeous on this guitar.,sub,sub,are,is,5,2
qian2023,qian2023//1/pss,qian2023//1/psp,The sounds of the string are so gorgeous on this guitar.,sub,sub,is,are,5,2
qian2023,qian2023//1/pss,qian2023//1/sss,The sound of the string is so gorgeous on this guitar.,sub,sub,sounds,sound,1,2
qian2023,qian2023//1/psp,qian2023//1/psp,The sounds of the string are so gorgeous on this guitar.,none,,,,,1
qian2023,qian2023//1/pps,qian2023//1/ppp,The sounds of the strings are so gorgeous on this guitar.,sub,sub,is,are,5,2
qian2023,qian2023//1/pps,qian2023//1/sps,The sound of the strings is so gorgeous on this guitar.,sub,sub,sounds,sound,1,2
qian2023,qian2023//1/ppp,qian2023//1/ppp,The sounds of the strings are so gorgeous on this guitar.,none,,,,,1
qian2023,qian2023//2/sss,qian2023//2/sss,The cause of the problem was investigated thoroughly.,none,,,,,1
qian2023,qian2023//2/ssp,qian2023//2/psp,The causes of the problem were investigated thoroughly.,sub,sub,cause,causes,1,2
qian2023,qian2023//2/ssp,qian2023//2/sss,The cause of the problem was investigated thoroughly.,sub,sub,were,was,5,2
qian2023,qian2023//2/sps,qian2023//2/sps,The cause of the problems was investigated thoroughly.,none,,,,,1
qian2023,qian2023//2/spp,qian2023//2/ppp,The causes of the problems were investigated thoroughly.,sub,sub,cause,causes,1,2
qian2023,qian2023//2/spp,qian2023//2/sps,The cause of the problems was investigated thoroughly.,sub,sub,were,was,5,2
qian2023,qian2023//2/pss,qian2023//2/psp,The causes of the problem were investigated thoroughly.,sub,sub,was,were,5,2
qian2023,qian2023//2/pss,qian2023//2/sss,The cause of the problem was investigated thoroughly.,sub,sub,causes,cause,1,2
qian2023,qian2023//2/psp,qian2023//2/psp,The causes of the problem were investigated thoroughly.,none,,,,,1
