item_id,pair_id,family,condition,plausibility,observed,intended,edit_type,edit_distance,expected,literal_interp,edited_interp,notes,slp_observed,slp_intended,slp_gain,gate_slp,edit_from,edit_to,reach_dist,reach_ok,miss_ntok,contrast_gain_keep,gate_pass,gate_note
SUBW-01a,SUBW-01,SUBW,implausible,implaus,the storyteller told an amusing antidote,the storyteller told an amusing anecdote,sub,2,edit,speaker meant 'antidote',speaker meant 'anecdote',real-word malaprop; antidote anomalous after told/amusing,-48.018,-37.315,10.702,pass,antidote,anecdote,2,yes,,,PASS,
SUBW-01b,SUBW-01,SUBW,plausible,plaus,the doctor prepared a fast-acting antidote,the doctor prepared a fast-acting antidote,none,0,keep,speaker meant 'antidote','anecdote' (reject),same observed word in a context where it is correct,-49.185,-49.185,0.0,n/a,,,,,,-8.149,PASS,
SUBW-02a,SUBW-02,SUBW,implausible,implaus,the medic treated the wound to prevent an inflection,the medic treated the wound to prevent an infection,sub,1,edit,speaker meant 'inflection',speaker meant 'infection',d=1 (drop 'l'); strong context for infection,-65.113,-52.302,12.811,pass,inflection,infection,1,yes,,,PASS,
SUBW-02b,SUBW-02,SUBW,plausible,plaus,the teacher explained the verb's inflection,the teacher explained the verb's inflection,none,0,keep,speaker meant 'inflection','infection' (reject),inflection correct in a grammar context,-50.385,-50.385,0.0,n/a,,,,,,-6.886,PASS,
SUBW-03a,SUBW-03,SUBW,implausible,implaus,the judge cited an important president,the judge cited an important precedent,sub,2,edit,speaker meant 'president',speaker meant 'precedent',legal frame predicts precedent,-48.651,-39.541,9.109,pass,president,precedent,2,yes,,,PASS,
SUBW-03b,SUBW-03,SUBW,plausible,plaus,the board elected a new president,the board elected a new president,none,0,keep,speaker meant 'president','precedent' (reject),president correct in an election context,-29.731,-29.731,0.0,n/a,,,,,,-9.022,PASS,
SUBW-04a,SUBW-04,SUBW,implausible,implaus,the explorers trekked across the scorching dessert,the explorers trekked across the scorching desert,sub,1,edit,speaker meant 'dessert',speaker meant 'desert',d=1 (drop 's'); 'scorching/trekked' predict desert,-57.072,-48.33,8.741,pass,dessert,desert,1,yes,,,PASS,
SUBW-04b,SUBW-04,SUBW,plausible,plaus,she ordered a rich chocolate dessert,she ordered a rich chocolate dessert,none,0,keep,speaker meant 'dessert','desert' (reject),dessert correct in a food context,-43.558,-43.558,0.0,n/a,,,,,,-4.013,PASS,
SUBW-05a,SUBW-05,SUBW,implausible,implaus,he wore a very causal shirt to the wedding,he wore a very casual shirt to the wedding,sub,1,edit,speaker meant 'causal',speaker meant 'casual',d=1 transposition (u/s); clothing context predicts casual,-54.036,-46.367,7.669,pass,causal,casual,1,yes,,,PASS,
SUBW-05b,SUBW-05,SUBW,plausible,plaus,they studied the causal link between the variables,they studied the causal link between the variables,none,0,keep,speaker meant 'causal','casual' (reject),causal correct in a science context,-49.078,-49.078,0.0,n/a,,,,,,-5.779,PASS,
SUBW-06a,SUBW-06,SUBW,implausible,implaus,she gave him a lovely complement on his cooking,she gave him a lovely compliment on his cooking,sub,1,edit,speaker meant 'complement',speaker meant 'compliment',d=1 (e->i); praise context predicts compliment,-57.727,-47.694,10.033,pass,complement,compliment,1,yes,,,PASS,
SUBW-06b,SUBW-06,SUBW,plausible,plaus,the wine was a perfect complement to the meal,the wine was a perfect complement to the meal,none,0,keep,speaker meant 'complement','compliment' (reject),complement correct in a pairing context,-39.12,-39.12,0.0,n/a,,,,,,-0.547,PASS,
SUBN-01a,SUBN-01,SUBN,implausible,implaus,did you recieve the message,did you receive the message,sub,1,edit,nonword 'recieve','receive',transposition typo; literal is a nonword,-33.149,-29.264,3.885,pass,recieve,receive,1,yes,,,PASS,
SUBN-01b,SUBN-01,SUBN,plausible,plaus,did you receive the message,did you receive the message,none,0,keep,'receive','receive' (already correct),correctly spelled twin,-29.264,-29.264,0.0,n/a,,,,,,,PASS,
