Item,Condition,sentence
1,Control,someone who has fought in a war is a veteran .
1,SemCrit,someone who has fought in a war is a veterinarian .
1,Sem,someone who has fought in a war is a rhinestone .
1,Synt,someone who has fought in a war is a veterans .
2,Control,the woman brought her sick pet dog to a veterinarian .
2,SemCrit,the woman brought her sick pet dog to a veteran .
2,Sem,the woman brought her sick pet dog to a carton .
2,Synt,the woman brought her sick pet dog to a veterinarians .
3,Control,the vintage wedding dress was big and required an alteration .
3,SemCrit,the vintage wedding dress was big and required an altercation .
3,Sem,the vintage wedding dress was big and required an inferno .
3,Synt,the vintage wedding dress was big and required an alterations .
4,Control,mediators prevented the dispute from escalating into a violent altercation .
4,SemCrit,mediators prevented the dispute from escalating into a violent alteration .
4,Sem,mediators prevented the dispute from escalating into a violent muskrat .
4,Synt,mediators prevented the dispute from escalating into a violent altercations .
5,Control,the storyteller could turn any incident into an amusing anecdote .
5,SemCrit,the storyteller could turn any incident into an amusing antidote .
5,Sem,the storyteller could turn any incident into an amusing hearse .
5,Synt,the storyteller could turn any incident into an amusing anecdotes .
6,Control,she saved him from the poison by administering an antidote .
6,SemCrit,she saved him from the poison by administering an anecdote .
6,Sem,she saved him from the poison by administering a matinee .
6,Synt,she saved him from the poison by administering an antidotes .
7,Control,clownfish have evolved invulnerability to the poison tentacles of anemones .
7,SemCrit,clownfish have evolved invulnerability to the poison tentacles of amenities .
7,Sem,clownfish have evolved invulnerability to the poison tentacles of ornaments .
7,Synt,clownfish have evolved invulnerability to the poison tentacles of anemone .
8,Control,the upscale apartment was complete with all these modern amenities .
8,SemCrit,the upscale apartment was complete with all these modern anemones .
8,Sem,the upscale apartment was complete with all these modern lymph .
8,Synt,the upscale apartment was complete with all these modern amenity .
9,Control,the flooded river fertilized the fields with a rich sediment .
9,SemCrit,the flooded river fertilized the fields with a rich sentiment .
9,Sem,the flooded river fertilized the fields with a rich juggler .
9,Synt,the flooded river fertilized the fields with a rich sediments .
10,Control,political corruption and economic hardship fueled a growing anti-government sentiment .
10,SemCrit,political corruption and economic hardship fueled a growing anti-government sediment .
10,Sem,political corruption and economic hardship fueled a growing anti-government dalmatian .
10,Synt,political corruption and economic hardship fueled a growing anti-government sentiments .
11,Control,up on the tree branch perched a bright red cardinal .
11,SemCrit,up on the tree branch perched a bright red carnival .
11,Sem,up on the tree branch perched a bright red masquerade .
11,Synt,up on the tree branch perched a bright red cardinals .
12,Control,there is a beanbag toss game booth at this carnival .
12,SemCrit,there is a beanbag toss game booth at this cardinal .
12,Sem,there is a beanbag toss game booth at this destruction .
12,Synt,there is a beanbag toss game booth at this carnivals .
13,Control,the reagents reacted faster in the presence of a catalyst .
13,SemCrit,the reagents reacted faster in the presence of a callus .
13,Sem,the reagents reacted faster in the presence of an anecdote .
13,Synt,the reagents reacted faster in the presence of a catalysts .
15,Control,pikemen can be an effective defense against a charging cavalry .
15,SemCrit,pikemen can be an effective defense against a charging cavity .
15,Sem,pikemen can be an effective defense against a charging stipulation .
15,Synt,pikemen can be an effective defense against a charging cavalries .
16,Control,the dentist congratulated me on not having a single cavity .
16,SemCrit,the dentist congratulated me on not having a single cavalry .
16,Sem,the dentist congratulated me on not having a single petal .
16,Synt,the dentist congratulated me on not having a single cavities .
17,Control,after my root canal the dentist prescribed a pain medication .
17,SemCrit,after my root canal the dentist prescribed a pain meditation .
17,Sem,after my root canal the dentist prescribed a pain balcony .
17,Synt,after my root canal the dentist prescribed a pain medications .
18,Control,the monk sat quietly and fell into a deep meditation .
18,SemCrit,the monk sat quietly and fell into a deep medication .
18,Sem,the monk sat quietly and fell into a deep arsenal .
18,Synt,the monk sat quietly and fell into a deep meditations .
19,Control,her grandmother's pennies inspired her to start a coin collection .
19,SemCrit,her grandmother's pennies inspired her to start a coin correction .
19,Sem,her grandmother's pennies inspired her to start a coin parasol .
19,Synt,her grandmother's pennies inspired her to start a coin collections .
20,Control,the teacher interrupted his sentence to make a grammatical correction .
20,SemCrit,the teacher interrupted his sentence to make a grammatical collection .
20,Sem,the teacher interrupted his sentence to make a grammatical mercenary .
20,Synt,the teacher interrupted his sentence to make a grammatical corrections .
21,Control,an intense tension headache can be mistaken for a migraine .
21,SemCrit,an intense tension headache can be mistaken for a migrant .
21,Sem,an intense tension headache can be mistaken for an empire .
21,Synt,an intense tension headache can be mistaken for a migraines .
22,Control,harvesting crops is often the job of a seasonal migrant .
22,SemCrit,harvesting crops is often the job of a seasonal migraine .
22,Sem,harvesting crops is often the job of a seasonal massage .
22,Synt,harvesting crops is often the job of a seasonal migrants .
24,Control,the child wore a glittery crown with a pink rhinestone .
24,SemCrit,the child wore a glittery crown with a pink rhino .
24,Sem,the child wore a glittery crown with a pink captain .
24,Synt,the child wore a glittery crown with a pink rhinestones .
25,Control,the cause of death must be determined by a coroner .
25,SemCrit,the cause of death must be determined by a corridor .
25,Sem,the cause of death must be determined by a dynasty .
25,Synt,the cause of death must be determined by a coroners .
26,Control,his office is down at the end of this corridor .
26,SemCrit,his office is down at the end of this coroner .
26,Sem,his office is down at the end of this arsenic .
26,Synt,his office is down at the end of this corridors .
27,Control,statisticians emphasize that causation is not implied by a correlation .
27,SemCrit,statisticians emphasize that causation is not implied by a coronation .
27,Sem,statisticians emphasize that causation is not implied by a hypotenuse .
27,Synt,statisticians emphasize that causation is not implied by a correlations .
28,Control,the king knelt to be crowned at an official coronation .
28,SemCrit,the king knelt to be crowned at an official correlation .
28,Sem,the king knelt to be crowned at an official parasite .
28,Synt,the king knelt to be crowned at an official coronations .
29,Control,the moth attracted a mate by releasing a potent pheromone .
29,SemCrit,the moth attracted a mate by releasing a potent pharaoh .
29,Sem,the moth attracted a mate by releasing a potent admonition .
29,Synt,the moth attracted a mate by releasing a potent pheromones .
30,Control,the archeologists found the mummy of a young egyptian pharaoh .
30,SemCrit,the archeologists found the mummy of a young egyptian pheromone .
30,Sem,the archeologists found the mummy of a young egyptian hearth .
30,Synt,the archeologists found the mummy of a young egyptian pharoahs .
31,Control,the student went to medical school to become a physician .
31,SemCrit,the student went to medical school to become a physicist .
31,Sem,the student went to medical school to become a cardinal .
31,Synt,the student went to medical school to become a physicians .
