dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,critical_word_idx,comprehension_q,correct_answer,meta
gibson2013,dopo_to,1,DO_implausible,gibson2013/dopo_to/1/DO_implausible,The sister mailed the letter the niece.,the sister mailed the letter the niece .,The sister mailed the letter the niece.,,0,implausible,,dative,gibson2013/dopo_to/1/PO_plausible,The sister mailed the letter to the niece.,ins,ins,,to,,Did the niece receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/1/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,1,DO_plausible,gibson2013/dopo_to/1/DO_plausible,The sister mailed the niece the letter.,the sister mailed the niece the letter .,The sister mailed the niece the letter.,,1,plausible,,dative,gibson2013/dopo_to/1/DO_plausible,The sister mailed the niece the letter.,none,,,,,Did the niece receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/1/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,1,PO_implausible,gibson2013/dopo_to/1/PO_implausible,The sister mailed the niece to the letter.,the sister mailed the niece to the letter .,The sister mailed the niece to the letter.,,2,implausible,,dative,gibson2013/dopo_to/1/DO_plausible,The sister mailed the niece the letter.,del,del,to,,5,Did the niece receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/1/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,1,PO_plausible,gibson2013/dopo_to/1/PO_plausible,The sister mailed the letter to the niece.,the sister mailed the letter to the niece .,The sister mailed the letter to the niece.,,3,plausible,,dative,gibson2013/dopo_to/1/PO_plausible,The sister mailed the letter to the niece.,none,,,,,Did the niece receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/1/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,2,DO_implausible,gibson2013/dopo_to/2/DO_implausible,The mother gave the candle the daughter.,the mother gave the candle the daughter .,The mother gave the candle the daughter.,,4,implausible,,dative,gibson2013/dopo_to/2/PO_plausible,The mother gave the candle to the daughter.,ins,ins,,to,,Did the daughter receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/2/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,2,DO_plausible,gibson2013/dopo_to/2/DO_plausible,The mother gave the daughter the candle.,the mother gave the daughter the candle .,The mother gave the daughter the candle.,,5,plausible,,dative,gibson2013/dopo_to/2/DO_plausible,The mother gave the daughter the candle.,none,,,,,Did the daughter receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/2/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,2,PO_implausible,gibson2013/dopo_to/2/PO_implausible,The mother gave the daughter to the candle.,the mother gave the daughter to the candle .,The mother gave the daughter to the candle.,,6,implausible,,dative,gibson2013/dopo_to/2/DO_plausible,The mother gave the daughter the candle.,del,del,to,,5,Did the daughter receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/2/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,2,PO_plausible,gibson2013/dopo_to/2/PO_plausible,The mother gave the candle to the daughter.,the mother gave the candle to the daughter .,The mother gave the candle to the daughter.,,7,plausible,,dative,gibson2013/dopo_to/2/PO_plausible,The mother gave the candle to the daughter.,none,,,,,Did the daughter receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/2/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,3,DO_implausible,gibson2013/dopo_to/3/DO_implausible,The uncle sold the truck the father.,the uncle sold the truck the father .,The uncle sold the truck the father.,,8,implausible,,dative,gibson2013/dopo_to/3/PO_plausible,The uncle sold the truck to the father.,ins,ins,,to,,Did the father receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/3/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,3,DO_plausible,gibson2013/dopo_to/3/DO_plausible,The uncle sold the father the truck.,the uncle sold the father the truck .,The uncle sold the father the truck.,,9,plausible,,dative,gibson2013/dopo_to/3/DO_plausible,The uncle sold the father the truck.,none,,,,,Did the father receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/3/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,3,PO_implausible,gibson2013/dopo_to/3/PO_implausible,The uncle sold the father to the truck.,the uncle sold the father to the truck .,The uncle sold the father to the truck.,,10,implausible,,dative,gibson2013/dopo_to/3/DO_plausible,The uncle sold the father the truck.,del,del,to,,5,Did the father receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/3/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,3,PO_plausible,gibson2013/dopo_to/3/PO_plausible,The uncle sold the truck to the father.,the uncle sold the truck to the father .,The uncle sold the truck to the father.,,11,plausible,,dative,gibson2013/dopo_to/3/PO_plausible,The uncle sold the truck to the father.,none,,,,,Did the father receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/3/PO_plausible"", ""structure"": ""PO"", ""type"": ""Target""}"
gibson2013,dopo_to,4,DO_implausible,gibson2013/dopo_to/4/DO_implausible,The contractor lent the saw the homeowner.,the contractor lent the saw the homeowner .,The contractor lent the saw the homeowner.,,12,implausible,,dative,gibson2013/dopo_to/4/PO_plausible,The contractor lent the saw to the homeowner.,ins,ins,,to,,Did the homeowner receive something/someone?,No,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/4/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
gibson2013,dopo_to,4,DO_plausible,gibson2013/dopo_to/4/DO_plausible,The contractor lent the homeowner the saw.,the contractor lent the homeowner the saw .,The contractor lent the homeowner the saw.,,13,plausible,,dative,gibson2013/dopo_to/4/DO_plausible,The contractor lent the homeowner the saw.,none,,,,,Did the homeowner receive something/someone?,Yes,"{""same_structure_plausible_uid"": ""gibson2013/dopo_to/4/DO_plausible"", ""structure"": ""DO"", ""type"": ""Target""}"
