dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uid,intended_text,edit_type,edit_ops,edit_from,edit_to,critical_word_idx,comprehension_q,correct_answer,meta
tabor2004,,e1_1,nonreduced_global,tabor2004//e1_1/nonreduced_global,The kindergartners liked the little girl who was chosen a toy by her parents.,the kindergartners liked the little girl who was chosen a toy by her parents .,The kindergartners liked the little girl who was chosen a toy by her parents.,,0,,,relativizer,tabor2004//e1_1/nonreduced_global,The kindergartners liked the little girl who was chosen a toy by her parents.,none,,,,8,Who chose a toy?,A little girl's parents,"{""answer_options"": [""Kindergartners"", ""A little girl"", "" A girl's parents""], ""coherence"": ""global"", ""experiment"": ""exp1"", ""participle"": ""chosen"", ""reduced_rel"": ""nonreduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_1,reduced_global,tabor2004//e1_1/reduced_global,The kindergartners liked the little girl chosen a toy by her parents.,the kindergartners liked the little girl chosen a toy by her parents .,The kindergartners liked the little girl chosen a toy by her parents.,,1,,,relativizer,tabor2004//e1_1/nonreduced_global,The kindergartners liked the little girl who was chosen a toy by her parents.,ins,ins,,who was,6,Who chose a toy?,A little girl's parents,"{""answer_options"": [""Kindergartners"", ""A little girl"", "" A girl's parents""], ""coherence"": ""global"", ""experiment"": ""exp1"", ""participle"": ""chosen"", ""reduced_rel"": ""reduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_1,nonreduced_local,tabor2004//e1_1/nonreduced_local,The kindergartners liked the little girl who was brought a toy by her parents.,the kindergartners liked the little girl who was brought a toy by her parents .,The kindergartners liked the little girl who was brought a toy by her parents.,,2,,,relativizer,tabor2004//e1_1/nonreduced_local,The kindergartners liked the little girl who was brought a toy by her parents.,none,,,,8,Who brought a toy?,A little girl's parents,"{""answer_options"": [""Kindergartners"", ""A little girl"", "" A girl's parents""], ""coherence"": ""local"", ""experiment"": ""exp1"", ""participle"": ""brought"", ""reduced_rel"": ""nonreduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_1,reduced_local,tabor2004//e1_1/reduced_local,The kindergartners liked the little girl brought a toy by her parents.,the kindergartners liked the little girl brought a toy by her parents .,The kindergartners liked the little girl brought a toy by her parents.,,3,,,relativizer,tabor2004//e1_1/nonreduced_local,The kindergartners liked the little girl who was brought a toy by her parents.,ins,ins,,who was,6,Who brought a toy?,A little girl's parents,"{""answer_options"": [""Kindergartners"", ""A little girl"", "" A girl's parents""], ""coherence"": ""local"", ""experiment"": ""exp1"", ""participle"": ""brought"", ""reduced_rel"": ""reduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_2,nonreduced_global,tabor2004//e1_2/nonreduced_global,We saw a movie about an artist who was drawn a picture by her father.,we saw a movie about an artist who was drawn a picture by her father .,We saw a movie about an artist who was drawn a picture by her father.,,4,,,relativizer,tabor2004//e1_2/nonreduced_global,We saw a movie about an artist who was drawn a picture by her father.,none,,,,9,Who drew a picture?,An artist's father,"{""answer_options"": [""We did"", ""An artist"", ""An artist's father""], ""coherence"": ""global"", ""experiment"": ""exp1"", ""participle"": ""drawn"", ""reduced_rel"": ""nonreduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_2,reduced_global,tabor2004//e1_2/reduced_global,We saw a movie about an artist drawn a picture by her father.,we saw a movie about an artist drawn a picture by her father .,We saw a movie about an artist drawn a picture by her father.,,5,,,relativizer,tabor2004//e1_2/nonreduced_global,We saw a movie about an artist who was drawn a picture by her father.,ins,ins,,who was,7,Who drew a picture?,An artist's father,"{""answer_options"": [""We did"", ""An artist"", ""An artist's father""], ""coherence"": ""global"", ""experiment"": ""exp1"", ""participle"": ""drawn"", ""reduced_rel"": ""reduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_2,nonreduced_local,tabor2004//e1_2/nonreduced_local,We saw a movie about an artist who was painted a picture by her father.,we saw a movie about an artist who was painted a picture by her father .,We saw a movie about an artist who was painted a picture by her father.,,6,,,relativizer,tabor2004//e1_2/nonreduced_local,We saw a movie about an artist who was painted a picture by her father.,none,,,,9,Who painted a picture?,An artist's father,"{""answer_options"": [""We did"", ""An artist"", ""An artist's father""], ""coherence"": ""local"", ""experiment"": ""exp1"", ""participle"": ""painted"", ""reduced_rel"": ""nonreduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_2,reduced_local,tabor2004//e1_2/reduced_local,We saw a movie about an artist painted a picture by her father.,we saw a movie about an artist painted a picture by her father .,We saw a movie about an artist painted a picture by her father.,,7,,,relativizer,tabor2004//e1_2/nonreduced_local,We saw a movie about an artist who was painted a picture by her father.,ins,ins,,who was,7,Who painted a picture?,An artist's father,"{""answer_options"": [""We did"", ""An artist"", ""An artist's father""], ""coherence"": ""local"", ""experiment"": ""exp1"", ""participle"": ""painted"", ""reduced_rel"": ""reduced"", ""relativizer"": ""who was"", ""src_orc"": ""NA""}"
tabor2004,,e1_3,nonreduced_global,tabor2004//e1_3/nonreduced_global,The health officials pounced on a restaurant which was flown a shipment of salmon by a company.,the health officials pounced on a restaurant which was flown a shipment of salmon by a company .,The health officials pounced on a restaurant which was flown a shipment of salmon by a company.,,8,,,relativizer,tabor2004//e1_3/nonreduced_global,The health officials pounced on a restaurant which was flown a shipment of salmon by a company.,none,,,,9,Who flew a shipment of salmon?,A company,"{""answer_options"": [""Some health officials"", ""A restaurant"", ""A company""], ""coherence"": ""global"", ""experiment"": ""exp1"", ""participle"": ""flown"", ""reduced_rel"": ""nonreduced"", ""relativizer"": ""which was"", ""src_orc"": ""NA""}"
tabor2004,,e1_3,reduced_global,tabor2004//e1_3/reduced_global,The health officials pounced on a restaurant flown a shipment of salmon by a company.,the health officials pounced on a restaurant flown a shipment of salmon by a company .,The health officials pounced on a restaurant flown a shipment of salmon by a company.,,9,,,relativizer,tabor2004//e1_3/nonreduced_global,The health officials pounced on a restaurant which was flown a shipment of salmon by a company.,ins,ins,,which was,7,Who flew a shipment of salmon?,A company,"{""answer_options"": [""Some health officials"", ""A restaurant"", ""A company""], ""coherence"": ""global"", ""experiment"": ""exp1"", ""participle"": ""flown"", ""reduced_rel"": ""reduced"", ""relativizer"": ""which was"", ""src_orc"": ""NA""}"
