dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uids,n_intended,critical_word_idx,comprehension_q,correct_answer,meta
clark2026,,0,1.1,clark2026//0/1.1,The boy kicked the big round ball into the net.,the boy kicked the big round ball into the net .,The boy kicked the big round ball into the net.,,0,plausible,,word_form,clark2026//0/1.1,1,2,,,"{""critical_cond"": ""1"", ""critical_word"": ""kicked"", ""id"": ""1"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""ball into the net"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,1.2,clark2026//0/1.2,The boy kicked the big round lollipop with delight.,the boy kicked the big round lollipop with delight .,The boy kicked the big round lollipop with delight.,,1,implausible,,word_form,clark2026//0/2.2,1,2,,,"{""critical_cond"": ""1"", ""critical_word"": ""kicked"", ""id"": ""2"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""lollipop with delight"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,1.Control,clark2026//0/1.Control,The boy kicked the big round breath after the run.,the boy kicked the big round breath after the run .,The boy kicked the big round breath after the run.,,2,implausible,,,,0,2,,,"{""critical_cond"": ""1"", ""critical_word"": ""kicked"", ""id"": ""3"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""breath after the run"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,2.1,clark2026//0/2.1,The boy licked the big round ball into the net.,the boy licked the big round ball into the net .,The boy licked the big round ball into the net.,,3,implausible,,word_form,clark2026//0/1.1,1,2,,,"{""critical_cond"": ""2"", ""critical_word"": ""licked"", ""id"": ""4"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""ball into the net"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,2.2,clark2026//0/2.2,The boy licked the big round lollipop with delight.,the boy licked the big round lollipop with delight .,The boy licked the big round lollipop with delight.,,4,plausible,,word_form,clark2026//0/2.2,1,2,,,"{""critical_cond"": ""2"", ""critical_word"": ""licked"", ""id"": ""5"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""lollipop with delight"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,2.Control,clark2026//0/2.Control,The boy licked the big round breath after the run.,the boy licked the big round breath after the run .,The boy licked the big round breath after the run.,,5,implausible,,,,0,2,,,"{""critical_cond"": ""2"", ""critical_word"": ""licked"", ""id"": ""6"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""breath after the run"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,Control.1,clark2026//0/Control.1,The boy read the big round ball into the net.,the boy read the big round ball into the net .,The boy read the big round ball into the net.,,6,implausible,,,,0,2,,,"{""critical_cond"": ""Control"", ""critical_word"": ""read"", ""id"": ""7"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""ball into the net"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,Control.2,clark2026//0/Control.2,The boy read the big round lollipop with delight.,the boy read the big round lollipop with delight .,The boy read the big round lollipop with delight.,,7,implausible,,,,0,2,,,"{""critical_cond"": ""Control"", ""critical_word"": ""read"", ""id"": ""8"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""lollipop with delight"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,Typo1.1,clark2026//0/Typo1.1,The boy kjcked the big round ball into the net.,the boy kjcked the big round ball into the net .,The boy kjcked the big round ball into the net.,,8,implausible,,typo,clark2026//0/1.1,1,2,,,"{""critical_cond"": ""Typo1"", ""critical_word"": ""kjcked"", ""id"": ""9"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""ball into the net"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,0,Typo2.2,clark2026//0/Typo2.2,The boy ljcked the big round lollipop with delight.,the boy ljcked the big round lollipop with delight .,The boy ljcked the big round lollipop with delight.,,9,implausible,,typo,clark2026//0/2.2,1,2,,,"{""critical_cond"": ""Typo2"", ""critical_word"": ""ljcked"", ""id"": ""10"", ""intervening"": ""the big round"", ""intervening_cond"": ""long"", ""preamble"": ""The boy"", ""predicate"": ""lollipop with delight"", ""source_critical"": {""Control"": ""read"", ""Critical1"": ""kicked"", ""Critical2"": ""licked"", ""Typo1"": ""kjcked"", ""Typo2"": ""ljcked""}}"
clark2026,,1,1.1,clark2026//1/1.1,His band was apparently no longer performing live.,his band was apparently no longer performing live .,His band was apparently no longer performing live.,,10,plausible,,word_form,clark2026//1/1.1,1,1,,,"{""critical_cond"": ""1"", ""critical_word"": ""band"", ""id"": ""11"", ""intervening"": ""was apparently no longer"", ""intervening_cond"": ""long"", ""preamble"": ""His"", ""predicate"": ""performing live"", ""source_critical"": {""Control"": ""house"", ""Critical1"": ""band"", ""Critical2"": ""hand"", ""Typo1"": ""bnd"", ""Typo2"": ""hnd""}}"
