dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uids,n_intended,critical_word_idx,comprehension_q,correct_answer,meta
huang2024,,1,NPS_AMB,huang2024//1/NPS_AMB,The suspect showed the file deserved further investigation during the murder trial.,the suspect showed the file deserved further investigation during the murder trial .,The suspect showed the file deserved further investigation during the murder trial.,,0,,,disambiguator,huang2024//1/NPS_UAMB,1,5,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPS"", ""disamb_position_amb"": ""6"", ""disamb_position_unamb"": ""7"", ""disamb_word"": ""deserved""}"
huang2024,,1,NPZ_AMB,huang2024//1/NPZ_AMB,Because the suspect changed the file deserved further investigation during the jury discussions.,because the suspect changed the file deserved further investigation during the jury discussions .,Because the suspect changed the file deserved further investigation during the jury discussions.,,1,,,disambiguator,huang2024//1/NPZ_UAMB,1,6,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPZ"", ""disamb_position_amb"": ""7"", ""disamb_position_unamb"": ""7"", ""disamb_word"": ""deserved""}"
huang2024,,1,MVRR_AMB,huang2024//1/MVRR_AMB,The suspect sent the file deserved further investigation given the new evidence.,the suspect sent the file deserved further investigation given the new evidence .,The suspect sent the file deserved further investigation given the new evidence.,,2,,,disambiguator,huang2024//1/MVRR_UAMB,1,5,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""MVRR"", ""disamb_position_amb"": ""6"", ""disamb_position_unamb"": ""8"", ""disamb_word"": ""deserved""}"
huang2024,,2,NPS_AMB,huang2024//2/NPS_AMB,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,the corrupt politician mentioned the bill received unwelcome attention from southern voters .,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,,3,,,disambiguator,huang2024//2/NPS_UAMB,1,6,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPS"", ""disamb_position_amb"": ""7"", ""disamb_position_unamb"": ""8"", ""disamb_word"": ""received""}"
huang2024,,2,NPZ_AMB,huang2024//2/NPZ_AMB,After the corrupt politician signed the bill received unwelcome attention from southern voters.,after the corrupt politician signed the bill received unwelcome attention from southern voters .,After the corrupt politician signed the bill received unwelcome attention from southern voters.,,4,,,disambiguator,huang2024//2/NPZ_UAMB,1,7,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPZ"", ""disamb_position_amb"": ""8"", ""disamb_position_unamb"": ""8"", ""disamb_word"": ""received""}"
huang2024,,2,MVRR_AMB,huang2024//2/MVRR_AMB,The corrupt politician handed the bill received unwelcome attention from southern voters.,the corrupt politician handed the bill received unwelcome attention from southern voters .,The corrupt politician handed the bill received unwelcome attention from southern voters.,,5,,,disambiguator,huang2024//2/MVRR_UAMB,1,6,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""MVRR"", ""disamb_position_amb"": ""7"", ""disamb_position_unamb"": ""9"", ""disamb_word"": ""received""}"
huang2024,,3,NPS_AMB,huang2024//3/NPS_AMB,The woman maintained the mail disappeared mysteriously from her front porch.,the woman maintained the mail disappeared mysteriously from her front porch .,The woman maintained the mail disappeared mysteriously from her front porch.,,6,,,disambiguator,huang2024//3/NPS_UAMB,1,5,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPS"", ""disamb_position_amb"": ""6"", ""disamb_position_unamb"": ""7"", ""disamb_word"": ""disappeared""}"
huang2024,,3,NPZ_AMB,huang2024//3/NPZ_AMB,After the woman moved the mail disappeared mysteriously from the delivery system.,after the woman moved the mail disappeared mysteriously from the delivery system .,After the woman moved the mail disappeared mysteriously from the delivery system.,,7,,,disambiguator,huang2024//3/NPZ_UAMB,1,6,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPZ"", ""disamb_position_amb"": ""7"", ""disamb_position_unamb"": ""7"", ""disamb_word"": ""disappeared""}"
huang2024,,3,MVRR_AMB,huang2024//3/MVRR_AMB,The woman brought the mail disappeared mysteriously after reading the bad news in it.,the woman brought the mail disappeared mysteriously after reading the bad news in it .,The woman brought the mail disappeared mysteriously after reading the bad news in it.,,8,,,disambiguator,huang2024//3/MVRR_UAMB,1,5,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""MVRR"", ""disamb_position_amb"": ""6"", ""disamb_position_unamb"": ""8"", ""disamb_word"": ""disappeared""}"
huang2024,,4,NPS_AMB,huang2024//4/NPS_AMB,The boy found the chicken stayed surprisingly happy in the new barn.,the boy found the chicken stayed surprisingly happy in the new barn .,The boy found the chicken stayed surprisingly happy in the new barn.,,9,,,disambiguator,huang2024//4/NPS_UAMB,1,5,,,"{""ambiguity"": ""ambiguous"", ""construction"": ""NPS"", ""disamb_position_amb"": ""6"", ""disamb_position_unamb"": ""7"", ""disamb_word"": ""stayed""}"
