dataset,stim_uid,edit_type,observed,intended,band
chen2023,chen2023/active_passive/1/active_implausible.none,multi,The ball kicked the girl.,The ball was kicked by the girl.,2
chen2023,chen2023/active_passive/1/passive_implausible.none,multi,The girl was kicked by the ball.,The girl kicked the ball.,2
chen2023,chen2023/active_passive/2/active_implausible.none,multi,The watch bought the plumber.,The watch was bought by the plumber.,2
chen2023,chen2023/active_passive/2/passive_implausible.none,multi,The plumber was bought by the watch.,The plumber bought the watch.,2
chen2023,chen2023/active_passive/3/active_implausible.none,sub,The truck drove the man.,The truck was driven by the man.,2
chen2023,chen2023/active_passive/3/passive_implausible.none,sub,The man was driven by the truck.,The man drove the truck.,2
chen2023,chen2023/active_passive/4/active_implausible.none,multi,The stamp licked the secretary.,The stamp was licked by the secretary.,2
chen2023,chen2023/active_passive/4/passive_implausible.none,multi,The secretary was licked by the stamp.,The secretary licked the stamp.,2
chen2023,chen2023/active_passive/5/active_implausible.none,multi,The table set the mother.,The table was set by the mother.,2
chen2023,chen2023/active_passive/5/passive_implausible.none,multi,The mother was set by the table.,The mother set the table.,2
chen2023,chen2023/active_passive/6/active_implausible.none,multi,The blanket folded the daughter.,The blanket was folded by the daughter.,2
chen2023,chen2023/active_passive/6/passive_implausible.none,multi,The daughter was folded by the blanket.,The daughter folded the blanket.,2
chen2023,chen2023/active_passive/7/active_implausible.none,multi,The saw sharpened the father.,The saw was sharpened by the father.,2
chen2023,chen2023/active_passive/7/passive_implausible.none,multi,The father was sharpened by the saw.,The father sharpened the saw.,2
chen2023,chen2023/active_passive/8/active_implausible.none,multi,The door opened the niece.,The door was opened by the niece.,2
chen2023,chen2023/active_passive/8/passive_implausible.none,multi,The niece was opened by the door.,The niece opened the door.,2
chen2023,chen2023/active_passive/9/active_implausible.none,sub,The pizza ate the boy.,The pizza was eaten by the boy.,2
chen2023,chen2023/active_passive/9/passive_implausible.none,sub,The boy was eaten by the pizza.,The boy ate the pizza.,2
chen2023,chen2023/active_passive/10/active_implausible.none,sub,The bowl broke the grandfather.,The bowl was broken by the grandfather.,2
chen2023,chen2023/active_passive/10/passive_implausible.none,sub,The grandfather was broken by the bowl.,The grandfather broke the bowl.,2
chen2023,chen2023/active_passive/11/active_implausible.none,multi,The diamond lost the woman.,The diamond was lost by the woman.,2
chen2023,chen2023/active_passive/11/passive_implausible.none,multi,The woman was lost by the diamond.,The woman lost the diamond.,2
chen2023,chen2023/active_passive/12/active_implausible.none,multi,The oven cleaned the grandmother.,The oven was cleaned by the grandmother.,2
chen2023,chen2023/active_passive/12/passive_implausible.none,multi,The grandmother was cleaned by the oven.,The grandmother cleaned the oven.,2
chen2023,chen2023/active_passive/13/active_implausible.none,sub,The hammer stole the electrician.,The hammer was stolen by the electrician.,2
chen2023,chen2023/active_passive/13/passive_implausible.none,sub,The electrician was stolen by the hammer.,The electrician stole the hammer.,2
chen2023,chen2023/active_passive/14/active_implausible.none,multi,The window closed the sister.,The window was closed by the sister.,2
chen2023,chen2023/active_passive/14/passive_implausible.none,multi,The sister was closed by the window.,The sister closed the window.,2
chen2023,chen2023/active_passive/15/active_implausible.none,multi,The water sipped the grandson.,The water was sipped by the grandson.,2
chen2023,chen2023/active_passive/15/passive_implausible.none,multi,The grandson was sipped by the water.,The grandson sipped the water.,2
chen2023,chen2023/active_passive/16/active_implausible.none,multi,The train boarded the granddaughter.,The train was boarded by the granddaughter.,2
chen2023,chen2023/active_passive/16/passive_implausible.none,multi,The granddaughter was boarded by the train.,The granddaughter boarded the train.,2
chen2023,chen2023/active_passive/17/active_implausible.none,multi,The book purchased the aunt.,The book was purchased by the aunt.,2
chen2023,chen2023/active_passive/17/passive_implausible.none,multi,The aunt was purchased by the book.,The aunt purchased the book.,2
chen2023,chen2023/active_passive/18/active_implausible.none,multi,The boat sailed the uncle.,The boat was sailed by the uncle.,2
chen2023,chen2023/active_passive/18/passive_implausible.none,multi,The uncle was sailed by the boat.,The uncle sailed the boat.,2
chen2023,chen2023/active_passive/19/active_implausible.none,multi,The candle lit the wife.,The candle was lit by the wife.,2
chen2023,chen2023/active_passive/19/passive_implausible.none,multi,The wife was lit by the candle.,The wife lit the candle.,2
chen2023,chen2023/active_passive/20/active_implausible.none,sub,The letter wrote the husband.,The letter was written by the husband.,2
chen2023,chen2023/active_passive/20/passive_implausible.none,sub,The husband was written by the letter.,The husband wrote the letter.,2
chen2023,chen2023/active_passive/1/active_implausible.supportive,multi,The ball kicked the girl.,The ball was kicked by the girl.,2
chen2023,chen2023/active_passive/1/passive_implausible.supportive,multi,The girl was kicked by the ball.,The girl kicked the ball.,2
chen2023,chen2023/active_passive/2/active_implausible.supportive,multi,The watch bought the plumber.,The watch was bought by the plumber.,2
chen2023,chen2023/active_passive/2/passive_implausible.supportive,multi,The plumber was bought by the watch.,The plumber bought the watch.,2
chen2023,chen2023/active_passive/3/active_implausible.supportive,sub,The truck drove the man.,The truck was driven by the man.,2
chen2023,chen2023/active_passive/3/passive_implausible.supportive,sub,The man was driven by the truck.,The man drove the truck.,2
chen2023,chen2023/active_passive/4/active_implausible.supportive,multi,The stamp licked the secretary.,The stamp was licked by the secretary.,2
chen2023,chen2023/active_passive/4/passive_implausible.supportive,multi,The secretary was licked by the stamp.,The secretary licked the stamp.,2
chen2023,chen2023/active_passive/5/active_implausible.supportive,multi,The table set the mother.,The table was set by the mother.,2
chen2023,chen2023/active_passive/5/passive_implausible.supportive,multi,The mother was set by the table.,The mother set the table.,2
