dataset,subset,item_id,condition,stim_uid,sentence_orig,sentence_norm,model_input,context,sentence_id,plausibility,is_grammatical,contrast,intended_uids,n_intended,critical_word_idx,comprehension_q,correct_answer,meta
ryskin2021,,1,Control,ryskin2021//1/Control,,someone who has fought in a war is a veteran .,Someone who has fought in a war is a veteran.,,0,plausible,,word_form,ryskin2021//1/Control,1,,,,{}
ryskin2021,,1,SemCrit,ryskin2021//1/SemCrit,,someone who has fought in a war is a veterinarian .,Someone who has fought in a war is a veterinarian.,,1,implausible,,word_form,ryskin2021//1/Control,1,9,,,{}
ryskin2021,,1,Sem,ryskin2021//1/Sem,,someone who has fought in a war is a rhinestone .,Someone who has fought in a war is a rhinestone.,,2,implausible,,word_form,ryskin2021//1/Control,1,9,,,{}
ryskin2021,,1,Synt,ryskin2021//1/Synt,,someone who has fought in a war is a veterans .,Someone who has fought in a war is a veterans.,,3,implausible,,word_form,ryskin2021//1/Control,1,9,,,{}
ryskin2021,,2,Control,ryskin2021//2/Control,,the woman brought her sick pet dog to a veterinarian .,The woman brought her sick pet dog to a veterinarian.,,4,plausible,,word_form,ryskin2021//2/Control,1,,,,{}
ryskin2021,,2,SemCrit,ryskin2021//2/SemCrit,,the woman brought her sick pet dog to a veteran .,The woman brought her sick pet dog to a veteran.,,5,implausible,,word_form,ryskin2021//2/Control,1,9,,,{}
ryskin2021,,2,Sem,ryskin2021//2/Sem,,the woman brought her sick pet dog to a carton .,The woman brought her sick pet dog to a carton.,,6,implausible,,word_form,ryskin2021//2/Control,1,9,,,{}
ryskin2021,,2,Synt,ryskin2021//2/Synt,,the woman brought her sick pet dog to a veterinarians .,The woman brought her sick pet dog to a veterinarians.,,7,implausible,,word_form,ryskin2021//2/Control,1,9,,,{}
ryskin2021,,3,Control,ryskin2021//3/Control,,the vintage wedding dress was big and required an alteration .,The vintage wedding dress was big and required an alteration.,,8,plausible,,word_form,ryskin2021//3/Control,1,,,,{}
ryskin2021,,3,SemCrit,ryskin2021//3/SemCrit,,the vintage wedding dress was big and required an altercation .,The vintage wedding dress was big and required an altercation.,,9,implausible,,word_form,ryskin2021//3/Control,1,9,,,{}
ryskin2021,,3,Sem,ryskin2021//3/Sem,,the vintage wedding dress was big and required an inferno .,The vintage wedding dress was big and required an inferno.,,10,implausible,,word_form,ryskin2021//3/Control,1,9,,,{}
ryskin2021,,3,Synt,ryskin2021//3/Synt,,the vintage wedding dress was big and required an alterations .,The vintage wedding dress was big and required an alterations.,,11,implausible,,word_form,ryskin2021//3/Control,1,9,,,{}
ryskin2021,,4,Control,ryskin2021//4/Control,,mediators prevented the dispute from escalating into a violent altercation .,Mediators prevented the dispute from escalating into a violent altercation.,,12,plausible,,word_form,ryskin2021//4/Control,1,,,,{}
ryskin2021,,4,SemCrit,ryskin2021//4/SemCrit,,mediators prevented the dispute from escalating into a violent alteration .,Mediators prevented the dispute from escalating into a violent alteration.,,13,implausible,,word_form,ryskin2021//4/Control,1,9,,,{}
ryskin2021,,4,Sem,ryskin2021//4/Sem,,mediators prevented the dispute from escalating into a violent muskrat .,Mediators prevented the dispute from escalating into a violent muskrat.,,14,implausible,,word_form,ryskin2021//4/Control,1,9,,,{}
ryskin2021,,4,Synt,ryskin2021//4/Synt,,mediators prevented the dispute from escalating into a violent altercations .,Mediators prevented the dispute from escalating into a violent altercations.,,15,implausible,,word_form,ryskin2021//4/Control,1,9,,,{}
ryskin2021,,5,Control,ryskin2021//5/Control,,the storyteller could turn any incident into an amusing anecdote .,The storyteller could turn any incident into an amusing anecdote.,,16,plausible,,word_form,ryskin2021//5/Control,1,,,,{}
ryskin2021,,5,SemCrit,ryskin2021//5/SemCrit,,the storyteller could turn any incident into an amusing antidote .,The storyteller could turn any incident into an amusing antidote.,,17,implausible,,word_form,ryskin2021//5/Control,1,9,,,{}
ryskin2021,,5,Sem,ryskin2021//5/Sem,,the storyteller could turn any incident into an amusing hearse .,The storyteller could turn any incident into an amusing hearse.,,18,implausible,,word_form,ryskin2021//5/Control,1,9,,,{}
ryskin2021,,5,Synt,ryskin2021//5/Synt,,the storyteller could turn any incident into an amusing anecdotes .,The storyteller could turn any incident into an amusing anecdotes.,,19,implausible,,word_form,ryskin2021//5/Control,1,9,,,{}
ryskin2021,,6,Control,ryskin2021//6/Control,,she saved him from the poison by administering an antidote .,She saved him from the poison by administering an antidote.,,20,plausible,,word_form,ryskin2021//6/Control,1,,,,{}
ryskin2021,,6,SemCrit,ryskin2021//6/SemCrit,,she saved him from the poison by administering an anecdote .,She saved him from the poison by administering an anecdote.,,21,implausible,,word_form,ryskin2021//6/Control,1,9,,,{}
ryskin2021,,6,Sem,ryskin2021//6/Sem,,she saved him from the poison by administering a matinee .,She saved him from the poison by administering a matinee.,,22,implausible,,word_form,ryskin2021//6/Control,1,8,,,{}
ryskin2021,,6,Synt,ryskin2021//6/Synt,,she saved him from the poison by administering an antidotes .,She saved him from the poison by administering an antidotes.,,23,implausible,,word_form,ryskin2021//6/Control,1,9,,,{}
ryskin2021,,7,Control,ryskin2021//7/Control,,clownfish have evolved invulnerability to the poison tentacles of anemones .,Clownfish have evolved invulnerability to the poison tentacles of anemones.,,24,plausible,,word_form,ryskin2021//7/Control,1,,,,{}
ryskin2021,,7,SemCrit,ryskin2021//7/SemCrit,,clownfish have evolved invulnerability to the poison tentacles of amenities .,Clownfish have evolved invulnerability to the poison tentacles of amenities.,,25,implausible,,word_form,ryskin2021//7/Control,1,9,,,{}
ryskin2021,,7,Sem,ryskin2021//7/Sem,,clownfish have evolved invulnerability to the poison tentacles of ornaments .,Clownfish have evolved invulnerability to the poison tentacles of ornaments.,,26,implausible,,word_form,ryskin2021//7/Control,1,9,,,{}
ryskin2021,,7,Synt,ryskin2021//7/Synt,,clownfish have evolved invulnerability to the poison tentacles of anemone .,Clownfish have evolved invulnerability to the poison tentacles of anemone.,,27,implausible,,word_form,ryskin2021//7/Control,1,9,,,{}
ryskin2021,,8,Control,ryskin2021//8/Control,,the upscale apartment was complete with all these modern amenities .,The upscale apartment was complete with all these modern amenities.,,28,plausible,,word_form,ryskin2021//8/Control,1,,,,{}
ryskin2021,,8,SemCrit,ryskin2021//8/SemCrit,,the upscale apartment was complete with all these modern anemones .,The upscale apartment was complete with all these modern anemones.,,29,implausible,,word_form,ryskin2021//8/Control,1,9,,,{}
ryskin2021,,8,Sem,ryskin2021//8/Sem,,the upscale apartment was complete with all these modern lymph .,The upscale apartment was complete with all these modern lymph.,,30,implausible,,word_form,ryskin2021//8/Control,1,9,,,{}
ryskin2021,,8,Synt,ryskin2021//8/Synt,,the upscale apartment was complete with all these modern amenity .,The upscale apartment was complete with all these modern amenity.,,31,implausible,,word_form,ryskin2021//8/Control,1,9,,,{}
ryskin2021,,9,Control,ryskin2021//9/Control,,the flooded river fertilized the fields with a rich sediment .,The flooded river fertilized the fields with a rich sediment.,,32,plausible,,word_form,ryskin2021//9/Control,1,,,,{}
ryskin2021,,9,SemCrit,ryskin2021//9/SemCrit,,the flooded river fertilized the fields with a rich sentiment .,The flooded river fertilized the fields with a rich sentiment.,,33,implausible,,word_form,ryskin2021//9/Control,1,9,,,{}
ryskin2021,,9,Sem,ryskin2021//9/Sem,,the flooded river fertilized the fields with a rich juggler .,The flooded river fertilized the fields with a rich juggler.,,34,implausible,,word_form,ryskin2021//9/Control,1,9,,,{}
